model_key,relation_key,relation_group,relation_name,n_value,delta_cos_mean_value,acc_given_value,hall_rate_given_value
qwen2_5_7b_instruct,person_plays_instrument,factual,person plays instrument,128,0.6304924571886659,0.4375,0.5625
qwen2_5_7b_instruct,person_plays_position_in_sport,factual,person sport position,238,0.6116463662195606,0.3487394957983193,0.6512605042016807
qwen2_5_7b_instruct,person_plays_pro_sport,factual,plays pro sport,80,0.6171863228082657,0.8375,0.1625
qwen2_5_7b_instruct,person_university,factual,person university,23,0.4944808988467506,0.1304347826086956,0.8695652173913043
qwen2_5_7b_instruct,product_by_company,factual,product by company,131,0.5147430717035104,0.7557251908396947,0.2442748091603053
qwen2_5_7b_instruct,star_constellation,factual,star constellation name,91,0.5013437074619335,0.8131868131868132,0.1868131868131868
qwen2_5_7b_instruct,substance_phase,commonsense,substance phase of matter,13,0.5738314115084134,1.0,0.0
qwen2_5_7b_instruct,superhero_archnemesis,factual,superhero archnemesis,24,0.4588209067781766,0.3333333333333333,0.6666666666666666
qwen2_5_7b_instruct,superhero_person,factual,superhero person,25,0.481614476442337,0.36,0.64
qwen2_5_7b_instruct,task_done_by_tool,commonsense,task done by tool,13,0.4283961539085095,0.3846153846153846,0.6153846153846154
qwen2_5_7b_instruct,verb_past_tense,linguistic,verb past tense,19,0.534405358527836,1.0,0.0
qwen2_5_7b_instruct,word_first_letter,linguistic,word first letter,61,0.5645256804638221,1.0,0.0
qwen2_5_7b_instruct,word_last_letter,linguistic,word last letter,61,0.5815566138165896,0.8032786885245902,0.1967213114754098
qwen2_5_7b_instruct,word_sentiment,commonsense,word sentiment,15,0.5992432236671448,1.0,0.0
