n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,delta_col,path,dir
994,,,0.14725200403144423,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_mother.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
994,,,0.22056302868984115,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_mother.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
991,,,0.10468557678486336,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_father.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
991,,,0.10468557678486336,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_father.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
991,,,0.18915595470595914,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_father.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
989,,,0.07161782951639444,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_father.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
989,,,0.07161782951639444,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_father.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
989,,,0.07161782951639444,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_father.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
952,,,0.13563872723519302,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_plays_position_in_sport.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
952,,,0.13563872723519302,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_plays_position_in_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
952,,,0.13563872723519302,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_plays_position_in_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
952,,,0.16555961860077723,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_plays_position_in_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
952,,,0.16555961860077723,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_plays_position_in_sport.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
951,,,0.07113970526260031,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_plays_position_in_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
947,,,0.10666019344405363,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/landmark_on_continent.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
947,,,0.10666019344405363,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/landmark_on_continent.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
946,,,0.08061681231030954,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/landmark_on_continent.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
946,,,0.08310580272503182,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/landmark_on_continent.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
946,,,0.08310580272503182,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/landmark_on_continent.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
946,,,0.08310580272503182,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/landmark_on_continent.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
919,,,0.0935285549623014,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_native_language.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
919,,,0.10789465151881238,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_native_language.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
919,,,0.10789465151881238,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_native_language.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
919,,,0.12086904052162585,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_native_language.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
919,,,0.12086904052162585,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_native_language.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
919,,,0.12086904052162585,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_native_language.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
836,,,0.05533025695376419,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/landmark_in_country.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
836,,,0.12616896493868393,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/landmark_in_country.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
836,,,0.12616896493868393,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/landmark_in_country.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
836,,,0.1279494982373201,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/landmark_in_country.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
836,,,0.1279494982373201,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/landmark_in_country.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
836,,,0.1279494982373201,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/landmark_in_country.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
821,,,0.08538494588541781,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_occupation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
821,,,0.1007770747127835,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_occupation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
821,,,0.1007770747127835,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_occupation.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
821,,,0.14704004129742007,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_occupation.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
821,,,0.14704004129742007,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_occupation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
821,,,0.14704004129742007,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_occupation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
674,,,0.04139845272200044,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/company_hq.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
674,,,0.11530358987675222,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/company_hq.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
674,,,0.11530358987675222,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/company_hq.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
674,,,0.11977190809539942,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/company_hq.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
674,,,0.11977190809539942,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/company_hq.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
674,,,0.11977190809539942,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/company_hq.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
513,,,0.04674865209568314,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_plays_instrument.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
513,,,0.05155877829992283,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_plays_instrument.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
513,,,0.05155877829992283,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_plays_instrument.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
513,,,0.0652137352244431,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_plays_instrument.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
513,,,0.0652137352244431,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_plays_instrument.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
513,,,0.0652137352244431,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_plays_instrument.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
511,,,0.09198667642654972,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
511,,,0.09198667642654972,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
504,,,0.06833882038555449,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
504,,,0.12130041532809772,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
504,,,0.12130041532809772,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
504,,,0.12130041532809772,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
503,,,0.1099087220300026,delta_cos,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/full/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/full/llama3_1_8b_instruct
503,,,0.1099087220300026,delta_cos,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/full/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/full/llama3_1_8b_instruct/per_relation
362,,,0.0322075835249042,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/star_constellation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
362,,,0.06333564361814636,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/star_constellation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
362,,,0.06333564361814636,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/star_constellation.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
362,,,0.07385421548429774,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/star_constellation.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
362,,,0.07385421548429774,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/star_constellation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
362,,,0.07385421548429774,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/star_constellation.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
327,,,0.09278333260014152,delta_cos,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/software/llama3_1_8b_instruct/per_triple.csv.gz,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/software/llama3_1_8b_instruct
327,,,0.09278333260014152,delta_cos,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/software/llama3_1_8b_instruct/per_relation/product_by_company.csv.gz,runs/experiments/exp2_core_periphery_20260131_001218/analysis/summary_min30/subrelations_product_by_company/deltacos_subrels_step5/software/llama3_1_8b_instruct/per_relation
318,,,0.047177645770258875,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/person_plays_pro_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
318,,,0.060715124292193716,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/person_plays_pro_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
318,,,0.060715124292193716,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/person_plays_pro_sport.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
318,,,0.12457210818926494,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/person_plays_pro_sport.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
318,,,0.12457210818926494,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/person_plays_pro_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
318,,,0.12457210818926494,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/person_plays_pro_sport.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
298,,,0.05964102671050385,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/company_ceo.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
298,,,0.05964102671050385,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/company_ceo.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
298,,,0.05964102671050385,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/company_ceo.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
298,,,0.13269862192589166,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/company_ceo.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
298,,,0.13269862192589166,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/company_ceo.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
298,,,0.15595152614100669,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation/company_ceo.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/subj_shallow_chat/llama3_1_8b_instruct/per_relation
241,,,0.11754600326549958,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/word_first_letter.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
241,,,0.11849740864824952,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/word_first_letter.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
241,,,0.13267013962338078,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/word_last_letter.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
241,,,0.1354982589537672,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/word_last_letter.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
100,,,0.028740092515945434,delta_cos,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation/superhero_person.csv.gz,runs/experiments/step5_all47_translation_chat_20260425_182152/llama3_1_8b_instruct/per_relation
100,,,0.028740092515945434,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation/superhero_person.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_chat/llama3_1_8b_instruct/per_relation
100,,,0.028740092515945434,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation/superhero_person.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/obj_shallow_chat/llama3_1_8b_instruct/per_relation
100,,,0.06564627766609192,delta_cos,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation/superhero_person.csv.gz,runs/experiments/lre_layer_prompt_sensitivity_multigpu_20260415_155921/default_plain/llama3_1_8b_instruct/per_relation
100,,,0.06564627766609192,delta_cos,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation/superhero_person.csv.gz,runs/experiments/step5_all47_translation_plain_20260425_181356/llama3_1_8b_instruct/per_relation
