model_key,relation_key,relation_group,n_test,cos_improvement,hall_rate_noncorrect,HALLUCINATION,REFUSAL,CORRECT,answered_n,noncorrect_n
llama3_1_8b_instruct,person_mother,factual,249,0.4936686158180237,0.9698890649762282,612,19,363,975,631
llama3_1_8b_instruct,person_native_language,bias,230,0.8160816431045532,0.9727891156462584,143,4,772,915,147
llama3_1_8b_instruct,person_occupation,factual,206,0.7737686634063721,0.97239263803681,317,9,495,812,326
llama3_1_8b_instruct,person_plays_instrument,factual,129,0.7849685549736023,0.8905472636815921,179,22,312,491,201
llama3_1_8b_instruct,person_plays_position_in_sport,factual,238,0.7718902230262756,0.6638297872340425,156,79,717,873,235
llama3_1_8b_instruct,person_plays_pro_sport,factual,80,0.7754021883010864,0.9,18,2,298,316,20
llama3_1_8b_instruct,person_university,factual,23,0.6718930602073669,1.0,56,0,35,91,56
llama3_1_8b_instruct,pokemon_evolutions,factual,11,0.5809087157249451,0.8,4,1,39,43,5
llama3_1_8b_instruct,product_by_company,factual,131,0.6758498549461365,0.963963963963964,107,4,411,518,111
llama3_1_8b_instruct,star_constellation,factual,91,0.6618081331253052,0.988095238095238,83,1,278,361,84
llama3_1_8b_instruct,superhero_archnemesis,factual,24,0.5370672941207886,1.0,58,0,38,96,58
llama3_1_8b_instruct,superhero_person,factual,25,0.6031407713890076,0.8780487804878049,36,5,59,95,41
llama3_1_8b_instruct,task_done_by_tool,commonsense,13,0.5915794372558594,1.0,23,0,29,52,23
llama3_1_8b_instruct,verb_past_tense,linguistic,19,0.6629680395126343,1.0,1,0,75,76,1
llama3_1_8b_instruct,word_last_letter,linguistic,61,0.7574681639671326,1.0,5,0,236,241,5
mistral_7b_instruct,adj_antonym,linguistic,25,0.5950384736061096,1.0,28,0,72,100,28
mistral_7b_instruct,adj_comparative,linguistic,17,0.6131730675697327,1.0,10,0,58,68,10
mistral_7b_instruct,adj_superlative,linguistic,20,0.5998722910881042,1.0,15,0,65,80,15
mistral_7b_instruct,company_ceo,factual,75,0.4673483371734619,0.8307692307692308,108,22,168,276,130
mistral_7b_instruct,company_hq,factual,169,0.6031975150108337,0.8693693693693694,193,29,452,645,222
mistral_7b_instruct,landmark_in_country,factual,209,0.6936495304107666,0.9098360655737704,111,11,714,825,122
mistral_7b_instruct,landmark_on_continent,factual,237,0.695581316947937,0.9228650137741048,335,28,584,919,363
mistral_7b_instruct,object_superclass,commonsense,19,0.7747995257377625,1.0,27,0,49,76,27
mistral_7b_instruct,occupation_age,bias,12,0.7538377642631531,0.6470588235294118,22,12,11,33,34
mistral_7b_instruct,person_father,factual,248,0.4101126194000244,0.8956043956043956,489,57,445,934,546
mistral_7b_instruct,person_mother,factual,249,0.3719995021820068,0.8145506419400856,571,130,293,864,701
mistral_7b_instruct,person_native_language,bias,230,0.8009238839149475,0.8090909090909091,89,21,809,898,110
mistral_7b_instruct,person_occupation,factual,206,0.7168744206428528,0.8967136150234741,382,44,395,777,426
mistral_7b_instruct,person_plays_instrument,factual,129,0.7266291975975037,0.8577405857740585,205,34,274,479,239
mistral_7b_instruct,person_plays_position_in_sport,factual,238,0.6774721145629883,0.8199052132701422,346,76,530,876,422
mistral_7b_instruct,person_plays_pro_sport,factual,80,0.7796016931533813,0.8333333333333334,25,5,288,313,30
mistral_7b_instruct,person_university,factual,23,0.5620395541191101,0.9836065573770492,60,1,30,90,61
mistral_7b_instruct,pokemon_evolutions,factual,11,0.5225355625152588,1.0,10,0,34,44,10
mistral_7b_instruct,product_by_company,factual,131,0.6057104468345642,0.9915254237288136,117,1,404,521,118
mistral_7b_instruct,star_constellation,factual,91,0.5752062797546387,0.9680851063829788,91,3,268,359,94
mistral_7b_instruct,superhero_archnemesis,factual,24,0.4502605497837066,0.9821428571428572,55,1,40,95,56
mistral_7b_instruct,superhero_person,factual,25,0.5346372127532959,0.9722222222222222,35,1,64,99,36
mistral_7b_instruct,task_done_by_tool,commonsense,13,0.5184421539306641,0.9583333333333334,23,1,28,51,24
mistral_7b_instruct,verb_past_tense,linguistic,19,0.6854528188705444,1.0,3,0,73,76,3
mistral_7b_instruct,word_last_letter,linguistic,61,0.6315245628356934,1.0,70,0,171,241,70
qwen2_5_7b_instruct,adj_antonym,linguistic,25,0.4642950892448425,1.0,29,0,71,100,29
qwen2_5_7b_instruct,adj_comparative,linguistic,17,0.4967493712902069,1.0,6,0,62,68,6
qwen2_5_7b_instruct,adj_superlative,linguistic,20,0.49526047706604,1.0,21,0,59,80,21
qwen2_5_7b_instruct,company_ceo,factual,75,0.4445355236530304,0.9689119170984456,187,6,105,292,193
qwen2_5_7b_instruct,company_hq,factual,169,0.5043976306915283,0.9857142857142858,345,5,324,669,350
qwen2_5_7b_instruct,landmark_in_country,factual,209,0.5782973170280457,0.903954802259887,160,17,659,819,177
qwen2_5_7b_instruct,landmark_on_continent,factual,237,0.5971224904060364,0.9514925373134328,255,13,679,934,268
qwen2_5_7b_instruct,object_superclass,commonsense,19,0.6114999055862427,1.0,23,0,53,76,23
qwen2_5_7b_instruct,occupation_age,bias,12,0.5813561081886292,0.2727272727272727,6,16,23,29,22
qwen2_5_7b_instruct,person_father,factual,248,0.4229136109352112,0.9828947368421052,747,13,231,978,760
qwen2_5_7b_instruct,person_mother,factual,249,0.4034953713417053,0.9888017917133258,883,10,101,984,893
qwen2_5_7b_instruct,person_native_language,bias,230,0.6389948129653931,1.0,109,0,810,919,109
qwen2_5_7b_instruct,person_occupation,factual,206,0.5990813970565796,0.9982668977469672,576,1,244,820,577
qwen2_5_7b_instruct,person_plays_instrument,factual,129,0.6303930878639221,0.9901960784313726,303,3,207,510,306
qwen2_5_7b_instruct,person_plays_position_in_sport,factual,238,0.6116463541984558,1.0,584,0,368,952,584
qwen2_5_7b_instruct,person_plays_pro_sport,factual,80,0.6171863079071045,0.9782608695652174,45,1,272,317,46
qwen2_5_7b_instruct,person_university,factual,23,0.4944808781147003,1.0,64,0,27,91,64
qwen2_5_7b_instruct,pokemon_evolutions,factual,11,0.457779973745346,1.0,18,0,26,44,18
qwen2_5_7b_instruct,product_by_company,factual,131,0.5147430896759033,0.9937106918238994,158,1,363,521,159
qwen2_5_7b_instruct,star_constellation,factual,91,0.5013437271118164,1.0,85,0,277,362,85
qwen2_5_7b_instruct,superhero_archnemesis,factual,24,0.4588209092617035,1.0,71,0,25,96,71
qwen2_5_7b_instruct,superhero_person,factual,25,0.4816144704818725,0.9672131147540984,59,2,39,98,61
qwen2_5_7b_instruct,task_done_by_tool,commonsense,13,0.4283961653709411,1.0,27,0,25,52,27
qwen2_5_7b_instruct,verb_past_tense,linguistic,19,0.5344053506851196,1.0,1,0,75,76,1
qwen2_5_7b_instruct,word_last_letter,linguistic,61,0.5815566182136536,1.0,37,0,204,241,37
