example_id,relation_key,relation_group,subject,prompt,prompt_key,verdict
company_ceo__0015,company_ceo,factual,Liboso Partners,Who is the CEO of Liboso Partners?,Who is the CEO of Liboso Partners?,clean
company_ceo__0016,company_ceo,factual,Beluru Technologies,Who is the CEO of Beluru Technologies?,Who is the CEO of Beluru Technologies?,clean
company_ceo__0017,company_ceo,factual,Dalete Systems,Who is the CEO of Dalete Systems?,Who is the CEO of Dalete Systems?,clean
company_ceo__0018,company_ceo,factual,Rabelo Technologies,Who is the CEO of Rabelo Technologies?,Who is the CEO of Rabelo Technologies?,clean
company_ceo__0019,company_ceo,factual,Basita Labs,Who is the CEO of Basita Labs?,Who is the CEO of Basita Labs?,clean
company_ceo__0020,company_ceo,factual,Dalubo Technologies,Who is the CEO of Dalubo Technologies?,Who is the CEO of Dalubo Technologies?,clean
company_ceo__0021,company_ceo,factual,Diruri Group,Who is the CEO of Diruri Group?,Who is the CEO of Diruri Group?,clean
company_ceo__0022,company_ceo,factual,Dubaso Holdings,Who is the CEO of Dubaso Holdings?,Who is the CEO of Dubaso Holdings?,clean
company_ceo__0023,company_ceo,factual,Rodido Group,Who is the CEO of Rodido Group?,Who is the CEO of Rodido Group?,clean
company_ceo__0024,company_ceo,factual,Bedaki Corp,Who is the CEO of Bedaki Corp?,Who is the CEO of Bedaki Corp?,clean
company_ceo__0025,company_ceo,factual,Kabilo Group,Who is the CEO of Kabilo Group?,Who is the CEO of Kabilo Group?,clean
company_ceo__0026,company_ceo,factual,Delebo Partners,Who is the CEO of Delebo Partners?,Who is the CEO of Delebo Partners?,clean
company_ceo__0027,company_ceo,factual,Lusode Corp,Who is the CEO of Lusode Corp?,Who is the CEO of Lusode Corp?,clean
company_ceo__0028,company_ceo,factual,Deliku Group,Who is the CEO of Deliku Group?,Who is the CEO of Deliku Group?,clean
company_ceo__0029,company_ceo,factual,Lubeli Labs,Who is the CEO of Lubeli Labs?,Who is the CEO of Lubeli Labs?,clean
company_ceo__0030,company_ceo,factual,Dobara Systems,Who is the CEO of Dobara Systems?,Who is the CEO of Dobara Systems?,clean
company_ceo__0031,company_ceo,factual,Daluba Group,Who is the CEO of Daluba Group?,Who is the CEO of Daluba Group?,clean
company_ceo__0032,company_ceo,factual,Telori Holdings,Who is the CEO of Telori Holdings?,Who is the CEO of Telori Holdings?,clean
company_ceo__0033,company_ceo,factual,Lukuka Group,Who is the CEO of Lukuka Group?,Who is the CEO of Lukuka Group?,clean
company_ceo__0034,company_ceo,factual,Disoko Systems,Who is the CEO of Disoko Systems?,Who is the CEO of Disoko Systems?,clean
company_ceo__0035,company_ceo,factual,Kurisa Labs,Who is the CEO of Kurisa Labs?,Who is the CEO of Kurisa Labs?,clean
company_ceo__0036,company_ceo,factual,Kisusu Technologies,Who is the CEO of Kisusu Technologies?,Who is the CEO of Kisusu Technologies?,clean
company_ceo__0037,company_ceo,factual,Sileda Technologies,Who is the CEO of Sileda Technologies?,Who is the CEO of Sileda Technologies?,clean
company_ceo__0038,company_ceo,factual,Lobudo Systems,Who is the CEO of Lobudo Systems?,Who is the CEO of Lobudo Systems?,clean
company_ceo__0039,company_ceo,factual,Salilo Corp,Who is the CEO of Salilo Corp?,Who is the CEO of Salilo Corp?,clean
company_ceo__0040,company_ceo,factual,Subela Group,Who is the CEO of Subela Group?,Who is the CEO of Subela Group?,clean
company_ceo__0041,company_ceo,factual,Dilele Technologies,Who is the CEO of Dilele Technologies?,Who is the CEO of Dilele Technologies?,clean
company_ceo__0042,company_ceo,factual,Koridi Technologies,Who is the CEO of Koridi Technologies?,Who is the CEO of Koridi Technologies?,clean
company_ceo__0043,company_ceo,factual,Rikoko Holdings,Who is the CEO of Rikoko Holdings?,Who is the CEO of Rikoko Holdings?,clean
company_ceo__0044,company_ceo,factual,Boburi Labs,Who is the CEO of Boburi Labs?,Who is the CEO of Boburi Labs?,clean
company_ceo__0045,company_ceo,factual,Dasako Partners,Who is the CEO of Dasako Partners?,Who is the CEO of Dasako Partners?,clean
company_ceo__0046,company_ceo,factual,Diboko Systems,Who is the CEO of Diboko Systems?,Who is the CEO of Diboko Systems?,clean
company_ceo__0047,company_ceo,factual,Kebola Systems,Who is the CEO of Kebola Systems?,Who is the CEO of Kebola Systems?,clean
company_ceo__0048,company_ceo,factual,Bebiko Labs,Who is the CEO of Bebiko Labs?,Who is the CEO of Bebiko Labs?,clean
company_ceo__0049,company_ceo,factual,Kukiso Group,Who is the CEO of Kukiso Group?,Who is the CEO of Kukiso Group?,clean
company_ceo__0050,company_ceo,factual,Sosale Systems,Who is the CEO of Sosale Systems?,Who is the CEO of Sosale Systems?,clean
company_ceo__0051,company_ceo,factual,Bidilo Partners,Who is the CEO of Bidilo Partners?,Who is the CEO of Bidilo Partners?,clean
company_ceo__0052,company_ceo,factual,Dukesu Systems,Who is the CEO of Dukesu Systems?,Who is the CEO of Dukesu Systems?,clean
company_ceo__0053,company_ceo,factual,Bokeri Partners,Who is the CEO of Bokeri Partners?,Who is the CEO of Bokeri Partners?,clean
company_ceo__0054,company_ceo,factual,Kaduse Holdings,Who is the CEO of Kaduse Holdings?,Who is the CEO of Kaduse Holdings?,clean
company_ceo__0055,company_ceo,factual,Rodare Partners,Who is the CEO of Rodare Partners?,Who is the CEO of Rodare Partners?,clean
company_ceo__0056,company_ceo,factual,Sorise Partners,Who is the CEO of Sorise Partners?,Who is the CEO of Sorise Partners?,clean
company_ceo__0057,company_ceo,factual,Ridare Technologies,Who is the CEO of Ridare Technologies?,Who is the CEO of Ridare Technologies?,clean
company_ceo__0058,company_ceo,factual,Dereba Corp,Who is the CEO of Dereba Corp?,Who is the CEO of Dereba Corp?,clean
company_ceo__0059,company_ceo,factual,Bodubo Labs,Who is the CEO of Bodubo Labs?,Who is the CEO of Bodubo Labs?,clean
company_ceo__0060,company_ceo,factual,Rekute Corp,Who is the CEO of Rekute Corp?,Who is the CEO of Rekute Corp?,clean
company_ceo__0061,company_ceo,factual,Rusesi Group,Who is the CEO of Rusesi Group?,Who is the CEO of Rusesi Group?,clean
company_ceo__0062,company_ceo,factual,Susira Labs,Who is the CEO of Susira Labs?,Who is the CEO of Susira Labs?,clean
company_ceo__0063,company_ceo,factual,Sesuso Systems,Who is the CEO of Sesuso Systems?,Who is the CEO of Sesuso Systems?,clean
company_ceo__0064,company_ceo,factual,Besidi Corp,Who is the CEO of Besidi Corp?,Who is the CEO of Besidi Corp?,clean
company_ceo__0065,company_ceo,factual,Dakoku Labs,Who is the CEO of Dakoku Labs?,Who is the CEO of Dakoku Labs?,clean
company_ceo__0066,company_ceo,factual,Tesaba Technologies,Who is the CEO of Tesaba Technologies?,Who is the CEO of Tesaba Technologies?,clean
company_ceo__0067,company_ceo,factual,Tarede Corp,Who is the CEO of Tarede Corp?,Who is the CEO of Tarede Corp?,clean
company_ceo__0068,company_ceo,factual,Sidaki Labs,Who is the CEO of Sidaki Labs?,Who is the CEO of Sidaki Labs?,clean
company_ceo__0069,company_ceo,factual,Sibobo Technologies,Who is the CEO of Sibobo Technologies?,Who is the CEO of Sibobo Technologies?,clean
company_ceo__0070,company_ceo,factual,Dilebe Group,Who is the CEO of Dilebe Group?,Who is the CEO of Dilebe Group?,clean
company_ceo__0071,company_ceo,factual,Kerosu Partners,Who is the CEO of Kerosu Partners?,Who is the CEO of Kerosu Partners?,clean
company_ceo__0072,company_ceo,factual,Bubibi Group,Who is the CEO of Bubibi Group?,Who is the CEO of Bubibi Group?,clean
company_ceo__0073,company_ceo,factual,Lalure Holdings,Who is the CEO of Lalure Holdings?,Who is the CEO of Lalure Holdings?,clean
company_ceo__0074,company_ceo,factual,Tesibo Corp,Who is the CEO of Tesibo Corp?,Who is the CEO of Tesibo Corp?,clean
company_ceo__0075,company_ceo,factual,Didera Partners,Who is the CEO of Didera Partners?,Who is the CEO of Didera Partners?,clean
company_ceo__0076,company_ceo,factual,Sekuko Systems,Who is the CEO of Sekuko Systems?,Who is the CEO of Sekuko Systems?,clean
company_ceo__0077,company_ceo,factual,Botata Labs,Who is the CEO of Botata Labs?,Who is the CEO of Botata Labs?,clean
company_ceo__0078,company_ceo,factual,Besasi Technologies,Who is the CEO of Besasi Technologies?,Who is the CEO of Besasi Technologies?,clean
company_ceo__0079,company_ceo,factual,Lidiso Partners,Who is the CEO of Lidiso Partners?,Who is the CEO of Lidiso Partners?,clean
company_ceo__0080,company_ceo,factual,Sokeki Holdings,Who is the CEO of Sokeki Holdings?,Who is the CEO of Sokeki Holdings?,clean
company_ceo__0081,company_ceo,factual,Dirada Corp,Who is the CEO of Dirada Corp?,Who is the CEO of Dirada Corp?,clean
company_ceo__0082,company_ceo,factual,Doridu Holdings,Who is the CEO of Doridu Holdings?,Who is the CEO of Doridu Holdings?,clean
company_ceo__0083,company_ceo,factual,Kekilo Partners,Who is the CEO of Kekilo Partners?,Who is the CEO of Kekilo Partners?,clean
company_ceo__0084,company_ceo,factual,Bodobe Group,Who is the CEO of Bodobe Group?,Who is the CEO of Bodobe Group?,clean
company_ceo__0085,company_ceo,factual,Siduku Group,Who is the CEO of Siduku Group?,Who is the CEO of Siduku Group?,clean
company_ceo__0086,company_ceo,factual,Doduke Partners,Who is the CEO of Doduke Partners?,Who is the CEO of Doduke Partners?,clean
company_ceo__0087,company_ceo,factual,Budili Systems,Who is the CEO of Budili Systems?,Who is the CEO of Budili Systems?,clean
company_ceo__0088,company_ceo,factual,Talira Holdings,Who is the CEO of Talira Holdings?,Who is the CEO of Talira Holdings?,clean
company_ceo__0089,company_ceo,factual,Sidalu Corp,Who is the CEO of Sidalu Corp?,Who is the CEO of Sidalu Corp?,clean
company_ceo__0090,company_ceo,factual,Dilike Labs,Who is the CEO of Dilike Labs?,Who is the CEO of Dilike Labs?,clean
company_ceo__0091,company_ceo,factual,Betela Labs,Who is the CEO of Betela Labs?,Who is the CEO of Betela Labs?,clean
company_ceo__0092,company_ceo,factual,Sukaro Technologies,Who is the CEO of Sukaro Technologies?,Who is the CEO of Sukaro Technologies?,clean
company_ceo__0093,company_ceo,factual,Lateki Group,Who is the CEO of Lateki Group?,Who is the CEO of Lateki Group?,clean
company_ceo__0094,company_ceo,factual,Ridilo Group,Who is the CEO of Ridilo Group?,Who is the CEO of Ridilo Group?,clean
company_ceo__0095,company_ceo,factual,Dukebe Group,Who is the CEO of Dukebe Group?,Who is the CEO of Dukebe Group?,clean
company_ceo__0096,company_ceo,factual,Doluli Systems,Who is the CEO of Doluli Systems?,Who is the CEO of Doluli Systems?,clean
company_ceo__0097,company_ceo,factual,Disiru Partners,Who is the CEO of Disiru Partners?,Who is the CEO of Disiru Partners?,clean
company_ceo__0098,company_ceo,factual,Lorudo Holdings,Who is the CEO of Lorudo Holdings?,Who is the CEO of Lorudo Holdings?,clean
company_ceo__0099,company_ceo,factual,Busara Partners,Who is the CEO of Busara Partners?,Who is the CEO of Busara Partners?,clean
company_ceo__0100,company_ceo,factual,Dididi Systems,Who is the CEO of Dididi Systems?,Who is the CEO of Dididi Systems?,clean
company_ceo__0101,company_ceo,factual,Badide Holdings,Who is the CEO of Badide Holdings?,Who is the CEO of Badide Holdings?,clean
company_ceo__0102,company_ceo,factual,Sebete Holdings,Who is the CEO of Sebete Holdings?,Who is the CEO of Sebete Holdings?,clean
company_ceo__0103,company_ceo,factual,Borebu Labs,Who is the CEO of Borebu Labs?,Who is the CEO of Borebu Labs?,clean
company_ceo__0104,company_ceo,factual,Lilosi Technologies,Who is the CEO of Lilosi Technologies?,Who is the CEO of Lilosi Technologies?,clean
company_ceo__0105,company_ceo,factual,Delida Partners,Who is the CEO of Delida Partners?,Who is the CEO of Delida Partners?,clean
company_ceo__0106,company_ceo,factual,Belila Technologies,Who is the CEO of Belila Technologies?,Who is the CEO of Belila Technologies?,clean
company_ceo__0107,company_ceo,factual,Darose Partners,Who is the CEO of Darose Partners?,Who is the CEO of Darose Partners?,clean
company_ceo__0108,company_ceo,factual,Dobasi Corp,Who is the CEO of Dobasi Corp?,Who is the CEO of Dobasi Corp?,clean
company_ceo__0109,company_ceo,factual,Luriku Group,Who is the CEO of Luriku Group?,Who is the CEO of Luriku Group?,clean
company_ceo__0110,company_ceo,factual,Riruku Labs,Who is the CEO of Riruku Labs?,Who is the CEO of Riruku Labs?,clean
company_ceo__0111,company_ceo,factual,Dadure Systems,Who is the CEO of Dadure Systems?,Who is the CEO of Dadure Systems?,clean
company_ceo__0112,company_ceo,factual,Takibi Holdings,Who is the CEO of Takibi Holdings?,Who is the CEO of Takibi Holdings?,clean
company_ceo__0113,company_ceo,factual,Rilobi Systems,Who is the CEO of Rilobi Systems?,Who is the CEO of Rilobi Systems?,clean
company_ceo__0114,company_ceo,factual,Teraku Holdings,Who is the CEO of Teraku Holdings?,Who is the CEO of Teraku Holdings?,clean
company_ceo__0115,company_ceo,factual,Lusosa Technologies,Who is the CEO of Lusosa Technologies?,Who is the CEO of Lusosa Technologies?,clean
company_ceo__0116,company_ceo,factual,Sarisa Group,Who is the CEO of Sarisa Group?,Who is the CEO of Sarisa Group?,clean
company_ceo__0117,company_ceo,factual,Libela Holdings,Who is the CEO of Libela Holdings?,Who is the CEO of Libela Holdings?,clean
company_ceo__0118,company_ceo,factual,Biraso Holdings,Who is the CEO of Biraso Holdings?,Who is the CEO of Biraso Holdings?,clean
company_ceo__0119,company_ceo,factual,Dedudi Group,Who is the CEO of Dedudi Group?,Who is the CEO of Dedudi Group?,clean
company_ceo__0120,company_ceo,factual,Lelado Labs,Who is the CEO of Lelado Labs?,Who is the CEO of Lelado Labs?,clean
company_ceo__0121,company_ceo,factual,Bidedi Corp,Who is the CEO of Bidedi Corp?,Who is the CEO of Bidedi Corp?,clean
company_ceo__0122,company_ceo,factual,Lesuko Technologies,Who is the CEO of Lesuko Technologies?,Who is the CEO of Lesuko Technologies?,clean
company_ceo__0123,company_ceo,factual,Rirela Partners,Who is the CEO of Rirela Partners?,Who is the CEO of Rirela Partners?,clean
company_ceo__0124,company_ceo,factual,Lerisi Systems,Who is the CEO of Lerisi Systems?,Who is the CEO of Lerisi Systems?,clean
company_ceo__0125,company_ceo,factual,Baseke Partners,Who is the CEO of Baseke Partners?,Who is the CEO of Baseke Partners?,clean
company_ceo__0126,company_ceo,factual,Sekote Corp,Who is the CEO of Sekote Corp?,Who is the CEO of Sekote Corp?,clean
company_ceo__0127,company_ceo,factual,Kasaki Holdings,Who is the CEO of Kasaki Holdings?,Who is the CEO of Kasaki Holdings?,clean
company_ceo__0128,company_ceo,factual,Rakadu Corp,Who is the CEO of Rakadu Corp?,Who is the CEO of Rakadu Corp?,clean
company_ceo__0129,company_ceo,factual,Teladi Partners,Who is the CEO of Teladi Partners?,Who is the CEO of Teladi Partners?,clean
company_ceo__0130,company_ceo,factual,Kiruku Group,Who is the CEO of Kiruku Group?,Who is the CEO of Kiruku Group?,clean
company_ceo__0131,company_ceo,factual,Kakolu Technologies,Who is the CEO of Kakolu Technologies?,Who is the CEO of Kakolu Technologies?,clean
company_ceo__0132,company_ceo,factual,Belora Corp,Who is the CEO of Belora Corp?,Who is the CEO of Belora Corp?,clean
company_ceo__0133,company_ceo,factual,Ruruli Technologies,Who is the CEO of Ruruli Technologies?,Who is the CEO of Ruruli Technologies?,clean
company_ceo__0134,company_ceo,factual,Lorari Holdings,Who is the CEO of Lorari Holdings?,Who is the CEO of Lorari Holdings?,clean
company_ceo__0135,company_ceo,factual,Telike Group,Who is the CEO of Telike Group?,Who is the CEO of Telike Group?,clean
company_ceo__0136,company_ceo,factual,Kusada Partners,Who is the CEO of Kusada Partners?,Who is the CEO of Kusada Partners?,clean
company_ceo__0137,company_ceo,factual,Soluse Holdings,Who is the CEO of Soluse Holdings?,Who is the CEO of Soluse Holdings?,clean
company_ceo__0138,company_ceo,factual,Diluko Systems,Who is the CEO of Diluko Systems?,Who is the CEO of Diluko Systems?,clean
company_ceo__0139,company_ceo,factual,Karalo Technologies,Who is the CEO of Karalo Technologies?,Who is the CEO of Karalo Technologies?,clean
company_ceo__0140,company_ceo,factual,Sesika Group,Who is the CEO of Sesika Group?,Who is the CEO of Sesika Group?,clean
company_ceo__0141,company_ceo,factual,Relata Corp,Who is the CEO of Relata Corp?,Who is the CEO of Relata Corp?,clean
company_ceo__0142,company_ceo,factual,Dubore Technologies,Who is the CEO of Dubore Technologies?,Who is the CEO of Dubore Technologies?,clean
company_ceo__0143,company_ceo,factual,Kebada Partners,Who is the CEO of Kebada Partners?,Who is the CEO of Kebada Partners?,clean
company_ceo__0144,company_ceo,factual,Tabasi Partners,Who is the CEO of Tabasi Partners?,Who is the CEO of Tabasi Partners?,clean
company_ceo__0145,company_ceo,factual,Riteso Group,Who is the CEO of Riteso Group?,Who is the CEO of Riteso Group?,clean
company_ceo__0146,company_ceo,factual,Lobubi Systems,Who is the CEO of Lobubi Systems?,Who is the CEO of Lobubi Systems?,clean
company_ceo__0147,company_ceo,factual,Dikule Systems,Who is the CEO of Dikule Systems?,Who is the CEO of Dikule Systems?,clean
company_ceo__0148,company_ceo,factual,Libadu Corp,Who is the CEO of Libadu Corp?,Who is the CEO of Libadu Corp?,clean
company_ceo__0149,company_ceo,factual,Tadasi Systems,Who is the CEO of Tadasi Systems?,Who is the CEO of Tadasi Systems?,clean
company_ceo__0150,company_ceo,factual,Rikido Technologies,Who is the CEO of Rikido Technologies?,Who is the CEO of Rikido Technologies?,clean
company_ceo__0151,company_ceo,factual,Rolesi Labs,Who is the CEO of Rolesi Labs?,Who is the CEO of Rolesi Labs?,clean
company_ceo__0152,company_ceo,factual,Talere Partners,Who is the CEO of Talere Partners?,Who is the CEO of Talere Partners?,clean
company_ceo__0153,company_ceo,factual,Baraku Labs,Who is the CEO of Baraku Labs?,Who is the CEO of Baraku Labs?,clean
company_ceo__0154,company_ceo,factual,Ribera Partners,Who is the CEO of Ribera Partners?,Who is the CEO of Ribera Partners?,clean
company_ceo__0155,company_ceo,factual,Kusako Technologies,Who is the CEO of Kusako Technologies?,Who is the CEO of Kusako Technologies?,clean
company_ceo__0156,company_ceo,factual,Sabubu Holdings,Who is the CEO of Sabubu Holdings?,Who is the CEO of Sabubu Holdings?,clean
company_ceo__0157,company_ceo,factual,Lebore Group,Who is the CEO of Lebore Group?,Who is the CEO of Lebore Group?,clean
company_ceo__0158,company_ceo,factual,Rukobi Partners,Who is the CEO of Rukobi Partners?,Who is the CEO of Rukobi Partners?,clean
company_ceo__0159,company_ceo,factual,Dilela Systems,Who is the CEO of Dilela Systems?,Who is the CEO of Dilela Systems?,clean
company_ceo__0160,company_ceo,factual,Lidoku Partners,Who is the CEO of Lidoku Partners?,Who is the CEO of Lidoku Partners?,clean
company_ceo__0161,company_ceo,factual,Rikile Group,Who is the CEO of Rikile Group?,Who is the CEO of Rikile Group?,clean
company_ceo__0162,company_ceo,factual,Lorula Systems,Who is the CEO of Lorula Systems?,Who is the CEO of Lorula Systems?,clean
company_ceo__0163,company_ceo,factual,Dolute Holdings,Who is the CEO of Dolute Holdings?,Who is the CEO of Dolute Holdings?,clean
company_ceo__0164,company_ceo,factual,Sadibe Holdings,Who is the CEO of Sadibe Holdings?,Who is the CEO of Sadibe Holdings?,clean
company_ceo__0165,company_ceo,factual,Dokusi Group,Who is the CEO of Dokusi Group?,Who is the CEO of Dokusi Group?,clean
company_ceo__0166,company_ceo,factual,Deduko Holdings,Who is the CEO of Deduko Holdings?,Who is the CEO of Deduko Holdings?,clean
company_ceo__0167,company_ceo,factual,Doruro Holdings,Who is the CEO of Doruro Holdings?,Who is the CEO of Doruro Holdings?,clean
company_ceo__0168,company_ceo,factual,Sedeta Systems,Who is the CEO of Sedeta Systems?,Who is the CEO of Sedeta Systems?,clean
company_ceo__0169,company_ceo,factual,Rerebe Holdings,Who is the CEO of Rerebe Holdings?,Who is the CEO of Rerebe Holdings?,clean
company_ceo__0170,company_ceo,factual,Rodaku Labs,Who is the CEO of Rodaku Labs?,Who is the CEO of Rodaku Labs?,clean
company_ceo__0171,company_ceo,factual,Sakiki Labs,Who is the CEO of Sakiki Labs?,Who is the CEO of Sakiki Labs?,clean
company_ceo__0172,company_ceo,factual,Sukika Partners,Who is the CEO of Sukika Partners?,Who is the CEO of Sukika Partners?,clean
company_ceo__0173,company_ceo,factual,Bababu Technologies,Who is the CEO of Bababu Technologies?,Who is the CEO of Bababu Technologies?,clean
company_ceo__0174,company_ceo,factual,Sakudu Group,Who is the CEO of Sakudu Group?,Who is the CEO of Sakudu Group?,clean
company_ceo__0175,company_ceo,factual,Takiku Labs,Who is the CEO of Takiku Labs?,Who is the CEO of Takiku Labs?,clean
company_ceo__0176,company_ceo,factual,Koburo Systems,Who is the CEO of Koburo Systems?,Who is the CEO of Koburo Systems?,clean
company_ceo__0177,company_ceo,factual,Dudebo Labs,Who is the CEO of Dudebo Labs?,Who is the CEO of Dudebo Labs?,clean
company_ceo__0178,company_ceo,factual,Liredi Holdings,Who is the CEO of Liredi Holdings?,Who is the CEO of Liredi Holdings?,clean
company_ceo__0179,company_ceo,factual,Tekalu Systems,Who is the CEO of Tekalu Systems?,Who is the CEO of Tekalu Systems?,clean
company_ceo__0180,company_ceo,factual,Redora Corp,Who is the CEO of Redora Corp?,Who is the CEO of Redora Corp?,clean
company_ceo__0181,company_ceo,factual,Sesuse Corp,Who is the CEO of Sesuse Corp?,Who is the CEO of Sesuse Corp?,clean
company_ceo__0182,company_ceo,factual,Karulo Labs,Who is the CEO of Karulo Labs?,Who is the CEO of Karulo Labs?,clean
company_ceo__0183,company_ceo,factual,Resute Labs,Who is the CEO of Resute Labs?,Who is the CEO of Resute Labs?,clean
company_ceo__0184,company_ceo,factual,Bisobe Group,Who is the CEO of Bisobe Group?,Who is the CEO of Bisobe Group?,clean
company_ceo__0185,company_ceo,factual,Subira Holdings,Who is the CEO of Subira Holdings?,Who is the CEO of Subira Holdings?,clean
company_ceo__0186,company_ceo,factual,Subuda Labs,Who is the CEO of Subuda Labs?,Who is the CEO of Subuda Labs?,clean
company_ceo__0187,company_ceo,factual,Duledu Labs,Who is the CEO of Duledu Labs?,Who is the CEO of Duledu Labs?,clean
company_ceo__0188,company_ceo,factual,Dikubo Labs,Who is the CEO of Dikubo Labs?,Who is the CEO of Dikubo Labs?,clean
company_ceo__0189,company_ceo,factual,Dobelu Group,Who is the CEO of Dobelu Group?,Who is the CEO of Dobelu Group?,clean
company_ceo__0190,company_ceo,factual,Diseka Corp,Who is the CEO of Diseka Corp?,Who is the CEO of Diseka Corp?,clean
company_ceo__0191,company_ceo,factual,Budela Technologies,Who is the CEO of Budela Technologies?,Who is the CEO of Budela Technologies?,clean
company_ceo__0192,company_ceo,factual,Dukala Labs,Who is the CEO of Dukala Labs?,Who is the CEO of Dukala Labs?,clean
company_ceo__0193,company_ceo,factual,Radedo Group,Who is the CEO of Radedo Group?,Who is the CEO of Radedo Group?,clean
company_ceo__0194,company_ceo,factual,Kiridu Group,Who is the CEO of Kiridu Group?,Who is the CEO of Kiridu Group?,clean
company_ceo__0195,company_ceo,factual,Rusaki Holdings,Who is the CEO of Rusaki Holdings?,Who is the CEO of Rusaki Holdings?,clean
company_ceo__0196,company_ceo,factual,Ladori Holdings,Who is the CEO of Ladori Holdings?,Who is the CEO of Ladori Holdings?,clean
company_ceo__0197,company_ceo,factual,Buloso Corp,Who is the CEO of Buloso Corp?,Who is the CEO of Buloso Corp?,clean
company_ceo__0198,company_ceo,factual,Rekaku Systems,Who is the CEO of Rekaku Systems?,Who is the CEO of Rekaku Systems?,clean
company_ceo__0199,company_ceo,factual,Kiruta Technologies,Who is the CEO of Kiruta Technologies?,Who is the CEO of Kiruta Technologies?,clean
company_hq__0000,company_hq,factual,Dokedi Group,Where are the headquarters of Dokedi Group?,Where are the headquarters of Dokedi Group?,clean
company_hq__0001,company_hq,factual,Tadale Corp,Where are the headquarters of Tadale Corp?,Where are the headquarters of Tadale Corp?,clean
company_hq__0002,company_hq,factual,Rebobi Holdings,Where are the headquarters of Rebobi Holdings?,Where are the headquarters of Rebobi Holdings?,clean
company_hq__0003,company_hq,factual,Taruda Corp,Where are the headquarters of Taruda Corp?,Where are the headquarters of Taruda Corp?,clean
company_hq__0004,company_hq,factual,Siluda Partners,Where are the headquarters of Siluda Partners?,Where are the headquarters of Siluda Partners?,clean
company_hq__0005,company_hq,factual,Kelola Technologies,Where are the headquarters of Kelola Technologies?,Where are the headquarters of Kelola Technologies?,clean
company_hq__0006,company_hq,factual,Rorote Technologies,Where are the headquarters of Rorote Technologies?,Where are the headquarters of Rorote Technologies?,clean
company_hq__0007,company_hq,factual,Rukulu Group,Where are the headquarters of Rukulu Group?,Where are the headquarters of Rukulu Group?,clean
company_hq__0008,company_hq,factual,Dorase Group,Where are the headquarters of Dorase Group?,Where are the headquarters of Dorase Group?,clean
company_hq__0009,company_hq,factual,Tebusa Systems,Where are the headquarters of Tebusa Systems?,Where are the headquarters of Tebusa Systems?,clean
company_hq__0010,company_hq,factual,Ruteso Corp,Where are the headquarters of Ruteso Corp?,Where are the headquarters of Ruteso Corp?,clean
company_hq__0011,company_hq,factual,Kosusi Group,Where are the headquarters of Kosusi Group?,Where are the headquarters of Kosusi Group?,clean
company_hq__0012,company_hq,factual,Dubaso Holdings,Where are the headquarters of Dubaso Holdings?,Where are the headquarters of Dubaso Holdings?,clean
company_hq__0013,company_hq,factual,Sirodu Corp,Where are the headquarters of Sirodu Corp?,Where are the headquarters of Sirodu Corp?,clean
company_hq__0014,company_hq,factual,Bosodu Technologies,Where are the headquarters of Bosodu Technologies?,Where are the headquarters of Bosodu Technologies?,clean
company_hq__0015,company_hq,factual,Terasi Group,Where are the headquarters of Terasi Group?,Where are the headquarters of Terasi Group?,clean
