model_key,relation_key,n_total,n_refusal,n_correct,n_hallucination,n_other,hall_rate_answered,hall_rate_unknown
llama3_1_8b_instruct,task_done_by_tool,52,0,29,23,0,0.4423076923076923,1.0
llama3_1_8b_instruct,word_sentiment,60,0,59,1,0,0.016666666666666666,1.0
mistral_7b_instruct,company_ceo,298,22,168,108,0,0.391304347826087,0.8307692307692308
mistral_7b_instruct,company_hq,674,29,452,193,0,0.2992248062015504,0.8693693693693694
mistral_7b_instruct,landmark_in_country,836,11,714,111,0,0.13454545454545455,0.9098360655737705
mistral_7b_instruct,landmark_on_continent,947,28,584,335,0,0.3645266594124048,0.9228650137741047
mistral_7b_instruct,object_superclass,76,0,49,27,0,0.35526315789473684,1.0
mistral_7b_instruct,occupation_age,45,12,11,22,0,0.6666666666666666,0.6470588235294118
mistral_7b_instruct,person_father,991,57,445,489,0,0.5235546038543897,0.8956043956043956
mistral_7b_instruct,person_mother,994,130,293,571,0,0.6608796296296297,0.8145506419400856
mistral_7b_instruct,person_native_language,919,21,809,89,0,0.09910913140311804,0.8090909090909091
mistral_7b_instruct,person_occupation,821,44,395,382,0,0.49163449163449163,0.8967136150234741
mistral_7b_instruct,person_plays_instrument,513,34,274,205,0,0.4279749478079332,0.8577405857740585
mistral_7b_instruct,person_plays_position_in_sport,952,76,530,346,0,0.3949771689497717,0.8199052132701422
mistral_7b_instruct,person_plays_pro_sport,318,5,288,25,0,0.07987220447284345,0.8333333333333334
mistral_7b_instruct,person_university,91,1,30,60,0,0.6666666666666666,0.9836065573770492
mistral_7b_instruct,product_by_company,522,1,404,117,0,0.22456813819577734,0.9915254237288136
mistral_7b_instruct,star_constellation,362,3,268,91,0,0.25348189415041783,0.9680851063829787
mistral_7b_instruct,substance_phase,50,0,48,2,0,0.04,1.0
mistral_7b_instruct,superhero_archnemesis,96,1,40,55,0,0.5789473684210527,0.9821428571428571
mistral_7b_instruct,superhero_person,100,1,64,35,0,0.35353535353535354,0.9722222222222222
mistral_7b_instruct,task_done_by_tool,52,1,28,23,0,0.45098039215686275,0.9583333333333334
mistral_7b_instruct,word_sentiment,60,0,59,1,0,0.016666666666666666,1.0
qwen2_5_7b_instruct,company_ceo,298,6,105,187,0,0.6404109589041096,0.9689119170984456
qwen2_5_7b_instruct,company_hq,674,5,324,345,0,0.515695067264574,0.9857142857142858
qwen2_5_7b_instruct,landmark_in_country,836,17,659,160,0,0.19536019536019536,0.903954802259887
qwen2_5_7b_instruct,landmark_on_continent,947,13,679,255,0,0.27301927194860814,0.9514925373134329
qwen2_5_7b_instruct,object_superclass,76,0,53,23,0,0.3026315789473684,1.0
qwen2_5_7b_instruct,occupation_age,45,16,23,6,0,0.20689655172413793,0.2727272727272727
qwen2_5_7b_instruct,person_father,991,13,231,747,0,0.7638036809815951,0.9828947368421053
qwen2_5_7b_instruct,person_mother,994,10,101,883,0,0.8973577235772358,0.9888017917133258
qwen2_5_7b_instruct,person_native_language,919,0,810,109,0,0.11860718171926006,1.0
qwen2_5_7b_instruct,person_occupation,821,1,244,576,0,0.7024390243902439,0.9982668977469671
qwen2_5_7b_instruct,person_plays_instrument,513,3,207,303,0,0.5941176470588235,0.9901960784313726
qwen2_5_7b_instruct,person_plays_position_in_sport,952,0,368,584,0,0.6134453781512605,1.0
qwen2_5_7b_instruct,person_plays_pro_sport,318,1,272,45,0,0.14195583596214512,0.9782608695652174
qwen2_5_7b_instruct,person_university,91,0,27,64,0,0.7032967032967034,1.0
qwen2_5_7b_instruct,product_by_company,522,1,363,158,0,0.30326295585412666,0.9937106918238994
qwen2_5_7b_instruct,star_constellation,362,0,277,85,0,0.23480662983425415,1.0
qwen2_5_7b_instruct,substance_phase,50,0,50,0,0,0.0,nan
qwen2_5_7b_instruct,superhero_archnemesis,96,0,25,71,0,0.7395833333333334,1.0
qwen2_5_7b_instruct,superhero_person,100,2,39,59,0,0.6020408163265306,0.9672131147540983
qwen2_5_7b_instruct,task_done_by_tool,52,0,25,27,0,0.5192307692307693,1.0
qwen2_5_7b_instruct,word_sentiment,60,0,60,0,0,0.0,nan
