model_key,relation_key,CORRECT,HALLUCINATION,REFUSAL,UNKNOWN,n_total,n_refusal,n_correct,n_hall,answered_n,noncorrect_n,hall_rate_answered,hall_rate_noncorrect,cos_improvement,n_test,subject_layer,object_layer,direction_norm
llama3_1_8b_instruct,degree_gender,36,2,0,0,38,0,36,2,38,2,0.0526315789473684,1.0,0.8008987307548523,10,16,30,49.27543258666992
llama3_1_8b_instruct,landmark_in_country,739,92,5,0,836,5,739,92,831,97,0.1107099879663056,0.9484536082474226,0.7424097657203674,209,16,30,39.523475646972656
llama3_1_8b_instruct,landmark_on_continent,736,190,21,0,947,21,736,190,926,211,0.2051835853131749,0.9004739336492891,0.777496874332428,237,16,30,41.13946533203125
llama3_1_8b_instruct,object_superclass,57,19,0,0,76,0,57,19,76,19,0.25,1.0,0.7631425261497498,19,16,30,40.49165725708008
llama3_1_8b_instruct,occupation_age,24,21,0,0,45,0,24,21,45,21,0.4666666666666667,1.0,0.7461028099060059,12,16,30,46.309757232666016
llama3_1_8b_instruct,person_father,543,434,14,0,991,14,543,434,977,448,0.4442169907881269,0.96875,0.5182269811630249,248,16,30,21.177350997924805
llama3_1_8b_instruct,person_mother,363,612,19,0,994,19,363,612,975,631,0.6276923076923077,0.9698890649762282,0.4936686158180237,249,16,30,18.706268310546875
llama3_1_8b_instruct,person_native_language,772,143,4,0,919,4,772,143,915,147,0.1562841530054644,0.9727891156462584,0.8160816431045532,230,16,30,42.45487976074219
llama3_1_8b_instruct,person_occupation,495,317,9,0,821,9,495,317,812,326,0.3903940886699507,0.97239263803681,0.7737686634063721,206,16,30,40.2147102355957
llama3_1_8b_instruct,person_plays_instrument,312,179,22,0,513,22,312,179,491,201,0.3645621181262729,0.8905472636815921,0.7849685549736023,129,16,30,42.162540435791016
llama3_1_8b_instruct,person_plays_position_in_sport,717,156,79,0,952,79,717,156,873,235,0.1786941580756013,0.6638297872340425,0.7718902230262756,238,16,30,39.259765625
llama3_1_8b_instruct,person_plays_pro_sport,298,18,2,0,318,2,298,18,316,20,0.0569620253164556,0.9,0.7754021883010864,80,16,30,41.46984100341797
llama3_1_8b_instruct,person_university,35,56,0,0,91,0,35,56,91,56,0.6153846153846154,1.0,0.6718930602073669,23,16,30,30.097332000732425
llama3_1_8b_instruct,pokemon_evolutions,39,4,1,0,44,1,39,4,43,5,0.0930232558139534,0.8,0.5809087157249451,11,16,30,26.922758102416992
llama3_1_8b_instruct,product_by_company,411,107,4,0,522,4,411,107,518,111,0.2065637065637065,0.963963963963964,0.6758498549461365,131,16,30,36.90144729614258
llama3_1_8b_instruct,star_constellation,278,83,1,0,362,1,278,83,361,84,0.2299168975069252,0.988095238095238,0.6618081331253052,91,16,30,33.8377685546875
llama3_1_8b_instruct,substance_phase,48,2,0,0,50,0,48,2,50,2,0.04,1.0,0.7807378172874451,13,16,30,42.27385711669922
llama3_1_8b_instruct,superhero_archnemesis,38,58,0,0,96,0,38,58,96,58,0.6041666666666666,1.0,0.5370672941207886,24,16,30,24.529878616333008
llama3_1_8b_instruct,superhero_person,59,36,5,0,100,5,59,36,95,41,0.3789473684210526,0.8780487804878049,0.6031407713890076,25,16,30,28.41311264038086
llama3_1_8b_instruct,task_done_by_tool,29,23,0,0,52,0,29,23,52,23,0.4423076923076923,1.0,0.5915794372558594,13,16,30,36.03073501586914
llama3_1_8b_instruct,verb_past_tense,75,1,0,0,76,0,75,1,76,1,0.0131578947368421,1.0,0.6629680395126343,19,16,30,37.98641586303711
llama3_1_8b_instruct,word_first_letter,241,0,0,0,241,0,241,0,241,0,0.0,,0.7650341391563416,61,16,30,42.70309066772461
llama3_1_8b_instruct,word_last_letter,236,5,0,0,241,0,236,5,241,5,0.0207468879668049,1.0,0.7574681639671326,61,16,30,39.77633666992188
llama3_1_8b_instruct,word_sentiment,59,1,0,0,60,0,59,1,60,1,0.0166666666666666,1.0,0.8026292324066162,15,16,30,40.30150985717773
llama3_1_8b_instruct,work_location,25,13,0,0,38,0,25,13,38,13,0.3421052631578947,1.0,0.6527260541915894,10,16,30,40.795291900634766
mistral_7b_instruct,adj_antonym,72,28,0,0,100,0,72,28,100,28,0.28,1.0,0.5950384736061096,25,16,30,20.57788848876953
mistral_7b_instruct,adj_comparative,58,10,0,0,68,0,58,10,68,10,0.1470588235294117,1.0,0.6131730675697327,17,16,30,18.78674697875977
mistral_7b_instruct,adj_superlative,65,15,0,0,80,0,65,15,80,15,0.1875,1.0,0.5998722910881042,20,16,30,18.316383361816406
mistral_7b_instruct,company_ceo,168,108,22,0,298,22,168,108,276,130,0.391304347826087,0.8307692307692308,0.4673483371734619,75,16,30,9.335633277893066
mistral_7b_instruct,company_hq,452,193,29,0,674,29,452,193,645,222,0.2992248062015504,0.8693693693693694,0.6031975150108337,169,16,30,18.688289642333984
mistral_7b_instruct,degree_gender,0,23,15,0,38,15,0,23,23,38,1.0,0.6052631578947368,0.7941268682479858,10,16,30,27.556331634521484
mistral_7b_instruct,landmark_in_country,714,111,11,0,836,11,714,111,825,122,0.1345454545454545,0.9098360655737704,0.6936495304107666,209,16,30,21.04364967346192
mistral_7b_instruct,landmark_on_continent,584,335,28,0,947,28,584,335,919,363,0.3645266594124048,0.9228650137741048,0.695581316947937,237,16,30,18.1143741607666
mistral_7b_instruct,object_superclass,49,27,0,0,76,0,49,27,76,27,0.3552631578947368,1.0,0.7747995257377625,19,16,30,22.033042907714844
mistral_7b_instruct,occupation_age,11,22,12,0,45,12,11,22,33,34,0.6666666666666666,0.6470588235294118,0.7538377642631531,12,16,30,25.381345748901367
mistral_7b_instruct,person_father,445,489,57,0,991,57,445,489,934,546,0.5235546038543897,0.8956043956043956,0.4101126194000244,248,16,30,10.045653343200684
mistral_7b_instruct,person_mother,293,571,130,0,994,130,293,571,864,701,0.6608796296296297,0.8145506419400856,0.3719995021820068,249,16,30,8.545909881591797
mistral_7b_instruct,person_native_language,809,89,21,0,919,21,809,89,898,110,0.099109131403118,0.8090909090909091,0.8009238839149475,230,16,30,23.49254035949707
mistral_7b_instruct,person_occupation,395,382,44,0,821,44,395,382,777,426,0.4916344916344916,0.8967136150234741,0.7168744206428528,206,16,30,21.90017890930176
mistral_7b_instruct,person_plays_instrument,274,205,34,0,513,34,274,205,479,239,0.4279749478079332,0.8577405857740585,0.7266291975975037,129,16,30,21.13808822631836
mistral_7b_instruct,person_plays_position_in_sport,530,346,76,0,952,76,530,346,876,422,0.3949771689497717,0.8199052132701422,0.6774721145629883,238,16,30,18.280580520629883
mistral_7b_instruct,person_plays_pro_sport,288,25,5,0,318,5,288,25,313,30,0.0798722044728434,0.8333333333333334,0.7796016931533813,80,16,30,23.50429916381836
mistral_7b_instruct,person_university,30,60,1,0,91,1,30,60,90,61,0.6666666666666666,0.9836065573770492,0.5620395541191101,23,16,30,14.2453031539917
mistral_7b_instruct,pokemon_evolutions,34,10,0,0,44,0,34,10,44,10,0.2272727272727272,1.0,0.5225355625152588,11,16,30,13.004594802856444
mistral_7b_instruct,product_by_company,404,117,1,0,522,1,404,117,521,118,0.2245681381957773,0.9915254237288136,0.6057104468345642,131,16,30,20.29825782775879
mistral_7b_instruct,star_constellation,268,91,3,0,362,3,268,91,359,94,0.2534818941504178,0.9680851063829788,0.5752062797546387,91,16,30,15.955330848693848
mistral_7b_instruct,substance_phase,48,2,0,0,50,0,48,2,50,2,0.04,1.0,0.7515889406204224,13,16,30,22.81303977966309
mistral_7b_instruct,superhero_archnemesis,40,55,1,0,96,1,40,55,95,56,0.5789473684210527,0.9821428571428572,0.4502605497837066,24,16,30,11.953720092773438
mistral_7b_instruct,superhero_person,64,35,1,0,100,1,64,35,99,36,0.3535353535353535,0.9722222222222222,0.5346372127532959,25,16,30,13.554370880126951
mistral_7b_instruct,task_done_by_tool,28,23,1,0,52,1,28,23,51,24,0.4509803921568627,0.9583333333333334,0.5184421539306641,13,16,30,18.845401763916016
mistral_7b_instruct,verb_past_tense,73,3,0,0,76,0,73,3,76,3,0.0394736842105263,1.0,0.6854528188705444,19,16,30,21.140708923339844
mistral_7b_instruct,word_first_letter,240,1,0,0,241,0,240,1,241,1,0.0041493775933609,1.0,0.6475732326507568,61,16,30,22.341716766357425
mistral_7b_instruct,word_last_letter,171,70,0,0,241,0,171,70,241,70,0.2904564315352697,1.0,0.6315245628356934,61,16,30,19.96240425109864
mistral_7b_instruct,word_sentiment,59,1,0,0,60,0,59,1,60,1,0.0166666666666666,1.0,0.8219422698020935,15,16,30,23.09664726257324
mistral_7b_instruct,work_location,29,9,0,0,38,0,29,9,38,9,0.2368421052631578,1.0,0.5610108971595764,10,16,30,21.866958618164062
qwen2_5_7b_instruct,adj_antonym,71,29,0,0,100,0,71,29,100,29,0.29,1.0,0.4642950892448425,25,14,26,310.1683349609375
qwen2_5_7b_instruct,adj_comparative,62,6,0,0,68,0,62,6,68,6,0.088235294117647,1.0,0.4967493712902069,17,14,26,315.2796630859375
qwen2_5_7b_instruct,adj_superlative,59,21,0,0,80,0,59,21,80,21,0.2625,1.0,0.49526047706604,20,14,26,292.3186340332031
qwen2_5_7b_instruct,company_ceo,105,187,6,0,298,6,105,187,292,193,0.6404109589041096,0.9689119170984456,0.4445355236530304,75,14,26,205.54965209960932
qwen2_5_7b_instruct,company_hq,324,345,5,0,674,5,324,345,669,350,0.515695067264574,0.9857142857142858,0.5043976306915283,169,14,26,338.0179138183594
qwen2_5_7b_instruct,degree_gender,11,27,0,0,38,0,11,27,38,27,0.7105263157894737,1.0,0.595443069934845,10,14,26,354.5154113769531
qwen2_5_7b_instruct,landmark_in_country,659,160,17,0,836,17,659,160,819,177,0.1953601953601953,0.903954802259887,0.5782973170280457,209,14,26,335.9622497558594
qwen2_5_7b_instruct,landmark_on_continent,679,255,13,0,947,13,679,255,934,268,0.2730192719486081,0.9514925373134328,0.5971224904060364,237,14,26,352.3142395019531
qwen2_5_7b_instruct,object_superclass,53,23,0,0,76,0,53,23,76,23,0.3026315789473684,1.0,0.6114999055862427,19,14,26,315.3177795410156
qwen2_5_7b_instruct,occupation_age,23,6,16,0,45,16,23,6,29,22,0.2068965517241379,0.2727272727272727,0.5813561081886292,12,14,26,315.4323425292969
qwen2_5_7b_instruct,person_father,231,747,13,0,991,13,231,747,978,760,0.7638036809815951,0.9828947368421052,0.4229136109352112,248,14,26,235.96051025390625
qwen2_5_7b_instruct,person_mother,101,883,10,0,994,10,101,883,984,893,0.8973577235772358,0.9888017917133258,0.4034953713417053,249,14,26,212.84605407714844
qwen2_5_7b_instruct,person_native_language,810,109,0,0,919,0,810,109,919,109,0.11860718171926,1.0,0.6389948129653931,230,14,26,368.4287109375
qwen2_5_7b_instruct,person_occupation,244,576,1,0,821,1,244,576,820,577,0.7024390243902439,0.9982668977469672,0.5990813970565796,206,14,26,340.3655090332031
qwen2_5_7b_instruct,person_plays_instrument,207,303,3,0,513,3,207,303,510,306,0.5941176470588235,0.9901960784313726,0.6303930878639221,129,14,26,368.0094604492188
qwen2_5_7b_instruct,person_plays_position_in_sport,368,584,0,0,952,0,368,584,952,584,0.6134453781512605,1.0,0.6116463541984558,238,14,26,343.18115234375
qwen2_5_7b_instruct,person_plays_pro_sport,272,45,1,0,318,1,272,45,317,46,0.1419558359621451,0.9782608695652174,0.6171863079071045,80,14,26,341.6217041015625
qwen2_5_7b_instruct,person_university,27,64,0,0,91,0,27,64,91,64,0.7032967032967034,1.0,0.4944808781147003,23,14,26,266.0680847167969
qwen2_5_7b_instruct,pokemon_evolutions,26,18,0,0,44,0,26,18,44,18,0.4090909090909091,1.0,0.457779973745346,11,14,26,275.26690673828125
qwen2_5_7b_instruct,product_by_company,363,158,1,0,522,1,363,158,521,159,0.3032629558541266,0.9937106918238994,0.5147430896759033,131,14,26,346.6031799316406
qwen2_5_7b_instruct,star_constellation,277,85,0,0,362,0,277,85,362,85,0.2348066298342541,1.0,0.5013437271118164,91,14,26,313.9876403808594
qwen2_5_7b_instruct,substance_phase,50,0,0,0,50,0,50,0,50,0,0.0,,0.5738314390182495,13,14,26,372.6100158691406
qwen2_5_7b_instruct,superhero_archnemesis,25,71,0,0,96,0,25,71,96,71,0.7395833333333334,1.0,0.4588209092617035,24,14,26,256.31256103515625
qwen2_5_7b_instruct,superhero_person,39,59,2,0,100,2,39,59,98,61,0.6020408163265306,0.9672131147540984,0.4816144704818725,25,14,26,287.9668273925781
qwen2_5_7b_instruct,task_done_by_tool,25,27,0,0,52,0,25,27,52,27,0.5192307692307693,1.0,0.4283961653709411,13,14,26,302.8573913574219
qwen2_5_7b_instruct,verb_past_tense,75,1,0,0,76,0,75,1,76,1,0.0131578947368421,1.0,0.5344053506851196,19,14,26,321.17138671875
qwen2_5_7b_instruct,word_first_letter,241,0,0,0,241,0,241,0,241,0,0.0,,0.5645256638526917,61,14,26,310.4522705078125
qwen2_5_7b_instruct,word_last_letter,204,37,0,0,241,0,204,37,241,37,0.1535269709543568,1.0,0.5815566182136536,61,14,26,323.3995666503906
qwen2_5_7b_instruct,word_sentiment,60,0,0,0,60,0,60,0,60,0,0.0,,0.5992432236671448,15,14,26,300.4527587890625
qwen2_5_7b_instruct,work_location,24,14,0,0,38,0,24,14,38,14,0.3684210526315789,1.0,0.4897403120994568,10,14,26,319.6723327636719
