model_key,relation_key,cos_improvement,n_test,n_triples,n_unique_targets,target_density,relation_group
llama3_1_8b_instruct,person_native_language,0.8160816431045532,230,919,30,0.03264417845484222,bias
llama3_1_8b_instruct,person_occupation,0.7737686634063721,206,821,31,0.037758830694275276,factual
llama3_1_8b_instruct,person_plays_instrument,0.7849685549736023,129,513,6,0.011695906432748537,factual
llama3_1_8b_instruct,person_plays_position_in_sport,0.7718902230262756,238,952,14,0.014705882352941176,factual
llama3_1_8b_instruct,person_plays_pro_sport,0.7754021883010864,80,318,5,0.015723270440251572,factual
llama3_1_8b_instruct,person_university,0.6718930602073669,23,91,69,0.7582417582417582,factual
llama3_1_8b_instruct,pokemon_evolutions,0.5809087157249451,11,44,44,1.0,factual
llama3_1_8b_instruct,product_by_company,0.6758498549461365,131,522,30,0.05747126436781609,factual
llama3_1_8b_instruct,star_constellation,0.6618081331253052,91,362,31,0.0856353591160221,factual
llama3_1_8b_instruct,substance_phase,0.7807378172874451,13,50,3,0.06,commonsense
llama3_1_8b_instruct,superhero_archnemesis,0.5370672941207886,24,96,90,0.9375,factual
llama3_1_8b_instruct,superhero_person,0.6031407713890076,25,100,100,1.0,factual
llama3_1_8b_instruct,task_done_by_tool,0.5915794372558594,13,52,51,0.9807692307692307,commonsense
llama3_1_8b_instruct,verb_past_tense,0.6629680395126343,19,76,76,1.0,linguistic
llama3_1_8b_instruct,word_first_letter,0.7650341391563416,61,241,25,0.1037344398340249,linguistic
llama3_1_8b_instruct,word_last_letter,0.7574681639671326,61,241,18,0.07468879668049792,linguistic
llama3_1_8b_instruct,word_sentiment,0.8026292324066162,15,60,3,0.05,commonsense
mistral_7b_instruct,adj_antonym,0.5950384736061096,25,100,95,0.95,linguistic
mistral_7b_instruct,adj_comparative,0.6131730675697327,17,68,57,0.8382352941176471,linguistic
mistral_7b_instruct,adj_superlative,0.5998722910881042,20,80,79,0.9875,linguistic
mistral_7b_instruct,company_ceo,0.4673483371734619,75,298,287,0.9630872483221476,factual
mistral_7b_instruct,company_hq,0.6031975150108337,169,674,163,0.24183976261127596,factual
mistral_7b_instruct,landmark_in_country,0.6936495304107666,209,836,91,0.10885167464114832,factual
mistral_7b_instruct,landmark_on_continent,0.695581316947937,237,947,5,0.005279831045406547,factual
mistral_7b_instruct,object_superclass,0.7747995257377625,19,76,10,0.13157894736842105,commonsense
mistral_7b_instruct,occupation_age,0.7538377642631531,12,45,2,0.044444444444444446,bias
mistral_7b_instruct,person_father,0.4101126194000244,248,991,968,0.9767911200807265,factual
mistral_7b_instruct,person_mother,0.3719995021820068,249,994,962,0.9678068410462777,factual
mistral_7b_instruct,person_native_language,0.8009238839149475,230,919,30,0.03264417845484222,bias
mistral_7b_instruct,person_occupation,0.7168744206428528,206,821,31,0.037758830694275276,factual
mistral_7b_instruct,person_plays_instrument,0.7266291975975037,129,513,6,0.011695906432748537,factual
mistral_7b_instruct,person_plays_position_in_sport,0.6774721145629883,238,952,14,0.014705882352941176,factual
mistral_7b_instruct,person_plays_pro_sport,0.7796016931533813,80,318,5,0.015723270440251572,factual
mistral_7b_instruct,person_university,0.5620395541191101,23,91,69,0.7582417582417582,factual
mistral_7b_instruct,pokemon_evolutions,0.5225355625152588,11,44,44,1.0,factual
mistral_7b_instruct,product_by_company,0.6057104468345642,131,522,30,0.05747126436781609,factual
mistral_7b_instruct,star_constellation,0.5752062797546387,91,362,31,0.0856353591160221,factual
mistral_7b_instruct,substance_phase,0.7515889406204224,13,50,3,0.06,commonsense
mistral_7b_instruct,superhero_archnemesis,0.4502605497837066,24,96,90,0.9375,factual
mistral_7b_instruct,superhero_person,0.5346372127532959,25,100,100,1.0,factual
mistral_7b_instruct,task_done_by_tool,0.5184421539306641,13,52,51,0.9807692307692307,commonsense
mistral_7b_instruct,verb_past_tense,0.6854528188705444,19,76,76,1.0,linguistic
mistral_7b_instruct,word_first_letter,0.6475732326507568,61,241,25,0.1037344398340249,linguistic
mistral_7b_instruct,word_last_letter,0.6315245628356934,61,241,18,0.07468879668049792,linguistic
mistral_7b_instruct,word_sentiment,0.8219422698020935,15,60,3,0.05,commonsense
qwen2_5_7b_instruct,adj_antonym,0.4642950892448425,25,100,95,0.95,linguistic
qwen2_5_7b_instruct,adj_comparative,0.4967493712902069,17,68,57,0.8382352941176471,linguistic
qwen2_5_7b_instruct,adj_superlative,0.49526047706604,20,80,79,0.9875,linguistic
qwen2_5_7b_instruct,company_ceo,0.4445355236530304,75,298,287,0.9630872483221476,factual
qwen2_5_7b_instruct,company_hq,0.5043976306915283,169,674,163,0.24183976261127596,factual
qwen2_5_7b_instruct,landmark_in_country,0.5782973170280457,209,836,91,0.10885167464114832,factual
qwen2_5_7b_instruct,landmark_on_continent,0.5971224904060364,237,947,5,0.005279831045406547,factual
qwen2_5_7b_instruct,object_superclass,0.6114999055862427,19,76,10,0.13157894736842105,commonsense
qwen2_5_7b_instruct,occupation_age,0.5813561081886292,12,45,2,0.044444444444444446,bias
qwen2_5_7b_instruct,person_father,0.4229136109352112,248,991,968,0.9767911200807265,factual
qwen2_5_7b_instruct,person_mother,0.4034953713417053,249,994,962,0.9678068410462777,factual
qwen2_5_7b_instruct,person_native_language,0.6389948129653931,230,919,30,0.03264417845484222,bias
qwen2_5_7b_instruct,person_occupation,0.5990813970565796,206,821,31,0.037758830694275276,factual
qwen2_5_7b_instruct,person_plays_instrument,0.6303930878639221,129,513,6,0.011695906432748537,factual
qwen2_5_7b_instruct,person_plays_position_in_sport,0.6116463541984558,238,952,14,0.014705882352941176,factual
qwen2_5_7b_instruct,person_plays_pro_sport,0.6171863079071045,80,318,5,0.015723270440251572,factual
qwen2_5_7b_instruct,person_university,0.4944808781147003,23,91,69,0.7582417582417582,factual
qwen2_5_7b_instruct,pokemon_evolutions,0.457779973745346,11,44,44,1.0,factual
qwen2_5_7b_instruct,product_by_company,0.5147430896759033,131,522,30,0.05747126436781609,factual
qwen2_5_7b_instruct,star_constellation,0.5013437271118164,91,362,31,0.0856353591160221,factual
qwen2_5_7b_instruct,substance_phase,0.5738314390182495,13,50,3,0.06,commonsense
qwen2_5_7b_instruct,superhero_archnemesis,0.4588209092617035,24,96,90,0.9375,factual
qwen2_5_7b_instruct,superhero_person,0.4816144704818725,25,100,100,1.0,factual
qwen2_5_7b_instruct,task_done_by_tool,0.4283961653709411,13,52,51,0.9807692307692307,commonsense
qwen2_5_7b_instruct,verb_past_tense,0.5344053506851196,19,76,76,1.0,linguistic
qwen2_5_7b_instruct,word_first_letter,0.5645256638526917,61,241,25,0.1037344398340249,linguistic
qwen2_5_7b_instruct,word_last_letter,0.5815566182136536,61,241,18,0.07468879668049792,linguistic
qwen2_5_7b_instruct,word_sentiment,0.5992432236671448,15,60,3,0.05,commonsense
