model_key,model_id,relation,total_n,n_value,n_refusal,value_rate,refusal_rate,n_pairs_retained,n_test,delta_cos_synth,cos_lre_mean,cos_base_mean,subject_layer,object_layer,label_source,model_key_behavior,relation_behavior,total,refusal,hallucination,other,refusal_rate_behavior,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,model_id_behavior,num_layers,subject_layer_behavior,object_layer_behavior,n_total,n_train,n_test_behavior,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse,_model_key,_relation
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,instrument,1000,455,545,0.455,0.545,455,114,0.7662001252174377,0.9115375280380249,0.14533743262290955,16,30,gemini,llama3_1_8b_instruct,instrument,1000,545,455,0,0.545,0.5140218675128997,0.5756337116143252,0.455,0.4243662883856748,0.4859781324871003,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,513.0,384.0,129.0,0.9054374098777772,0.0238828901201486,0.108523815870285,0.0177130904048681,0.7969136238098145,0.0963687300682067,llama3_1_8b_instruct,instrument
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,sport,1000,548,452,0.548,0.452,548,137,0.7629489302635193,0.8891497254371643,0.12620078027248383,16,30,gemini,llama3_1_8b_instruct,sport,1000,452,548,0,0.452,0.4213950371393751,0.4829723451249185,0.548,0.5170276548750816,0.5786049628606249,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,318.0,238.0,80.0,0.909494698047638,0.0134039241820573,0.1265950053930282,0.019883707165718,0.7828996777534485,0.0894901379942894,llama3_1_8b_instruct,sport
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_ceo,1000,67,933,0.067,0.933,67,17,0.743074893951416,0.9105286598205566,0.16745373606681824,16,30,gemini,mistral_7b_instruct,company_ceo,1000,933,67,0,0.933,0.9157875981239372,0.9468983077002489,0.067,0.0531016922997513,0.0842124018760628,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,298.0,223.0,75.0,0.6606370806694031,0.0583455078303813,0.193364143371582,0.0276179648935794,0.467272937297821,0.031537614762783,mistral_7b_instruct,company_ceo
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_hq,1000,981,19,0.981,0.019,981,246,0.7254617214202881,0.9307153820991516,0.20525360107421875,16,30,gemini,mistral_7b_instruct,company_hq,1000,19,981,0,0.019,0.0121967877374041,0.0294846887027035,0.981,0.9705153112972964,0.9878032122625958,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,674.0,505.0,169.0,0.7707667350769043,0.0959504172205925,0.1566965132951736,0.0302937217056751,0.6140702366828918,0.0578422881662845,mistral_7b_instruct,company_hq
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,country_language,1000,374,626,0.374,0.626,0,0,,,,16,30,gemini,mistral_7b_instruct,country_language,1000,626,374,0,0.626,0.5955811892071059,0.6554544323491238,0.374,0.3445455676508763,0.4044188107928941,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,24.0,18.0,6.0,0.8922544121742249,0.0398620627820491,0.2018612474203109,0.0216040648519992,0.6903931498527527,0.0377266891300678,mistral_7b_instruct,country_language
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,father,1000,57,943,0.057,0.943,57,15,0.5873978137969971,0.7532327175140381,0.16583479940891266,16,30,gemini,mistral_7b_instruct,father,1000,943,57,0,0.943,0.9268626022720124,0.9557467655804456,0.057,0.0442532344195542,0.0731373977279877,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,991.0,743.0,248.0,0.5515915155410767,0.0930014848709106,0.1385264545679092,0.0328190773725509,0.4130650758743286,0.0884368121623992,mistral_7b_instruct,father
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,instrument,1000,922,78,0.922,0.078,922,231,0.6505013704299927,0.8658072352409363,0.21530579030513763,16,30,gemini,mistral_7b_instruct,instrument,1000,78,922,0,0.078,0.0629469187422331,0.0962829836646805,0.922,0.9037170163353196,0.937053081257767,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,513.0,384.0,129.0,0.8621261119842529,0.0487534292042255,0.1378753781318664,0.0209016632288694,0.7242507338523865,0.0387812182307243,mistral_7b_instruct,instrument
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,sport,1000,901,99,0.901,0.099,901,226,0.6656045913696289,0.8736770153045654,0.20807236433029175,16,30,gemini,mistral_7b_instruct,sport,1000,99,901,0,0.099,0.0819951558612722,0.119074016805013,0.901,0.8809259831949872,0.9180048441387278,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,318.0,238.0,80.0,0.9149094820022584,0.0254405848681926,0.1345735937356948,0.0195708107203245,0.7803359031677246,0.0259192828088998,mistral_7b_instruct,sport
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_ceo,1000,275,725,0.275,0.725,275,69,0.4590499699115753,0.8581027388572693,0.3990527391433716,14,26,gemini,qwen2_5_7b_instruct,company_ceo,1000,725,275,0,0.725,0.696503294821948,0.7517746008141762,0.275,0.2482253991858238,0.303496705178052,Qwen/Qwen2.5-7B-Instruct,28,14,26,298.0,223.0,75.0,0.8095816373825073,0.0415223874151706,0.3650015890598297,0.0334700644016265,0.4445800483226776,8.228523254394531,qwen2_5_7b_instruct,company_ceo
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_hq,1000,977,23,0.977,0.023,977,245,0.5353590846061707,0.905152440071106,0.3697933852672577,14,26,gemini,qwen2_5_7b_instruct,company_hq,1000,23,977,0,0.023,0.0153741643029314,0.0342766969484851,0.977,0.9657233030515148,0.9846258356970684,Qwen/Qwen2.5-7B-Instruct,28,14,26,674.0,505.0,169.0,0.8641712069511414,0.0565403178334236,0.3485674858093261,0.0307414755225181,0.5156037211418152,12.476454734802246,qwen2_5_7b_instruct,company_hq
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,country_language,1000,514,486,0.514,0.486,0,0,,,,14,26,gemini,qwen2_5_7b_instruct,country_language,1000,486,514,0,0.486,0.4551346916565153,0.5169724615039037,0.514,0.4830275384960963,0.5448653083434848,Qwen/Qwen2.5-7B-Instruct,28,14,26,24.0,18.0,6.0,0.9514816403388976,0.0184379499405622,0.420781522989273,0.0359909795224666,0.5307000875473022,4.789844512939453,qwen2_5_7b_instruct,country_language
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,father,1000,438,562,0.438,0.562,438,110,0.5080278515815735,0.8429201245307922,0.33489227294921875,14,26,gemini,qwen2_5_7b_instruct,father,1000,562,438,0,0.562,0.5310695678304088,0.5924558967448789,0.438,0.4075441032551213,0.4689304321695912,Qwen/Qwen2.5-7B-Instruct,28,14,26,991.0,743.0,248.0,0.702400267124176,0.1123818457126617,0.311285138130188,0.0490070506930351,0.391115128993988,21.823522567749023,qwen2_5_7b_instruct,father
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,instrument,1000,1000,0,1.0,0.0,1000,250,0.6016824841499329,0.9094808101654053,0.30779826641082764,14,26,gemini,qwen2_5_7b_instruct,instrument,1000,0,1000,0,0.0,0.0,0.0038268985863905,1.0,0.9961731014136096,1.0,Qwen/Qwen2.5-7B-Instruct,28,14,26,513.0,384.0,129.0,0.9282584190368652,0.0269905887544155,0.3035911023616791,0.0304275378584861,0.6246672868728638,6.245115756988525,qwen2_5_7b_instruct,instrument
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,sport,1000,999,1,0.999,0.001,999,250,0.5809811353683472,0.8935558795928955,0.3125747740268707,14,26,gemini,qwen2_5_7b_instruct,sport,1000,1,999,0,0.001,0.0001765418290572,0.0056427029601604,0.999,0.9943572970398398,0.9998234581709428,Qwen/Qwen2.5-7B-Instruct,28,14,26,318.0,238.0,80.0,0.9254366159439088,0.0196559838950634,0.3079361319541931,0.0332062728703022,0.6175004839897156,5.808859825134277,qwen2_5_7b_instruct,sport
