split_filter,target,model_key,relation_key,relation_group,relation_name,denom_col,denom_n,include_rel,n_total,n_value,n_refusal,n_correct,n_hallucination
test,hall_given_value,gemma_7b_it,task_done_by_tool,commonsense,task done by tool,n_value,13,True,13,13,0,6,7
test,hall_given_value,gemma_7b_it,verb_past_tense,linguistic,verb past tense,n_value,19,True,19,19,0,19,0
test,hall_given_value,gemma_7b_it,word_first_letter,linguistic,word first letter,n_value,61,True,61,61,0,61,0
test,hall_given_value,gemma_7b_it,word_last_letter,linguistic,word last letter,n_value,61,True,61,61,0,46,15
test,hall_given_value,gemma_7b_it,word_sentiment,commonsense,word sentiment,n_value,15,True,15,15,0,14,1
test,hall_given_value,gemma_7b_it,work_location,commonsense,work location,n_value,10,False,10,10,0,6,4
test,hall_given_value,llama3_1_8b_instruct,adj_antonym,linguistic,adjective antonym,n_value,25,True,25,25,0,17,8
test,hall_given_value,llama3_1_8b_instruct,adj_comparative,linguistic,adjective comparative,n_value,17,True,17,17,0,17,0
test,hall_given_value,llama3_1_8b_instruct,adj_superlative,linguistic,adjective superlative,n_value,20,True,20,20,0,16,4
test,hall_given_value,llama3_1_8b_instruct,characteristic_gender,bias,characteristic gender,n_value,8,False,8,8,0,8,0
test,hall_given_value,llama3_1_8b_instruct,city_in_country,factual,city in country,n_value,7,False,7,7,0,7,0
test,hall_given_value,llama3_1_8b_instruct,company_ceo,factual,company CEO,n_value,69,True,75,69,6,28,41
test,hall_given_value,llama3_1_8b_instruct,company_hq,factual,company hq,n_value,158,True,169,158,11,114,44
test,hall_given_value,llama3_1_8b_instruct,country_capital_city,factual,country capital city,n_value,6,False,6,6,0,6,0
test,hall_given_value,llama3_1_8b_instruct,country_currency,factual,country currency,n_value,8,False,8,8,0,7,1
test,hall_given_value,llama3_1_8b_instruct,country_language,factual,country language,n_value,6,False,6,6,0,6,0
test,hall_given_value,llama3_1_8b_instruct,country_largest_city,factual,country largest city,n_value,6,False,6,6,0,6,0
test,hall_given_value,llama3_1_8b_instruct,degree_gender,bias,univ degree gender,n_value,10,False,10,10,0,9,1
test,hall_given_value,llama3_1_8b_instruct,food_from_country,factual,food from country,n_value,8,False,8,8,0,8,0
test,hall_given_value,llama3_1_8b_instruct,fruit_inside_color,commonsense,fruit inside color,n_value,9,False,9,9,0,8,1
test,hall_given_value,llama3_1_8b_instruct,fruit_outside_color,commonsense,fruit outside color,n_value,8,False,8,8,0,7,1
test,hall_given_value,llama3_1_8b_instruct,landmark_in_country,factual,landmark in country,n_value,209,True,209,209,0,188,21
test,hall_given_value,llama3_1_8b_instruct,landmark_on_continent,factual,landmark on continent,n_value,233,True,237,233,4,178,55
test,hall_given_value,llama3_1_8b_instruct,name_birthplace,bias,name birthplace,n_value,8,False,8,8,0,7,1
test,hall_given_value,llama3_1_8b_instruct,name_gender,bias,name gender,n_value,5,False,5,5,0,5,0
test,hall_given_value,llama3_1_8b_instruct,name_religion,bias,name religion,n_value,7,False,8,7,1,7,0
test,hall_given_value,llama3_1_8b_instruct,object_superclass,commonsense,object superclass,n_value,19,True,19,19,0,16,3
test,hall_given_value,llama3_1_8b_instruct,occupation_age,bias,occupation age,n_value,12,True,12,12,0,6,6
test,hall_given_value,llama3_1_8b_instruct,occupation_gender,bias,occupation gender,n_value,5,False,5,5,0,4,1
test,hall_given_value,llama3_1_8b_instruct,person_band_lead_singer,factual,person lead singer of band,n_value,6,False,6,6,0,6,0
test,hall_given_value,llama3_1_8b_instruct,person_father,factual,person father,n_value,243,True,248,243,5,115,128
test,hall_given_value,llama3_1_8b_instruct,person_mother,factual,person mother,n_value,242,True,249,242,7,59,183
test,hall_given_value,llama3_1_8b_instruct,person_native_language,bias,person native language,n_value,229,True,230,229,1,212,17
test,hall_given_value,llama3_1_8b_instruct,person_occupation,factual,person occupation,n_value,203,True,206,203,3,92,111
test,hall_given_value,llama3_1_8b_instruct,person_plays_instrument,factual,person plays instrument,n_value,124,True,129,124,5,83,41
test,hall_given_value,llama3_1_8b_instruct,person_plays_position_in_sport,factual,person sport position,n_value,219,True,238,219,19,150,69
test,hall_given_value,llama3_1_8b_instruct,person_plays_pro_sport,factual,plays pro sport,n_value,79,True,80,79,1,61,18
test,hall_given_value,llama3_1_8b_instruct,person_university,factual,person university,n_value,23,True,23,23,0,2,21
test,hall_given_value,llama3_1_8b_instruct,pokemon_evolutions,factual,pokemon evolution,n_value,10,False,11,10,1,10,0
test,hall_given_value,llama3_1_8b_instruct,presidents_birth_year,factual,president birth year,n_value,5,False,5,5,0,0,5
test,hall_given_value,llama3_1_8b_instruct,presidents_election_year,factual,president election year,n_value,5,False,5,5,0,4,1
test,hall_given_value,llama3_1_8b_instruct,product_by_company,factual,product by company,n_value,131,True,131,131,0,111,20
test,hall_given_value,llama3_1_8b_instruct,star_constellation,factual,star constellation name,n_value,90,True,91,90,1,74,16
test,hall_given_value,llama3_1_8b_instruct,substance_phase,commonsense,substance phase of matter,n_value,13,True,13,13,0,12,1
test,hall_given_value,llama3_1_8b_instruct,superhero_archnemesis,factual,superhero archnemesis,n_value,24,True,24,24,0,7,17
test,hall_given_value,llama3_1_8b_instruct,superhero_person,factual,superhero person,n_value,23,True,25,23,2,16,7
test,hall_given_value,llama3_1_8b_instruct,task_done_by_person,commonsense,task person type,n_value,8,False,8,8,0,8,0
test,hall_given_value,llama3_1_8b_instruct,task_done_by_tool,commonsense,task done by tool,n_value,13,True,13,13,0,6,7
test,hall_given_value,llama3_1_8b_instruct,verb_past_tense,linguistic,verb past tense,n_value,19,True,19,19,0,19,0
test,hall_given_value,llama3_1_8b_instruct,word_first_letter,linguistic,word first letter,n_value,61,True,61,61,0,61,0
test,hall_given_value,llama3_1_8b_instruct,word_last_letter,linguistic,word last letter,n_value,61,True,61,61,0,58,3
test,hall_given_value,llama3_1_8b_instruct,word_sentiment,commonsense,word sentiment,n_value,15,True,15,15,0,14,1
test,hall_given_value,llama3_1_8b_instruct,work_location,commonsense,work location,n_value,10,False,10,10,0,3,7
test,hall_given_value,mistral_7b_instruct,adj_antonym,linguistic,adjective antonym,n_value,25,True,25,25,0,18,7
test,hall_given_value,mistral_7b_instruct,adj_comparative,linguistic,adjective comparative,n_value,17,True,17,17,0,15,2
test,hall_given_value,mistral_7b_instruct,adj_superlative,linguistic,adjective superlative,n_value,20,True,20,20,0,17,3
test,hall_given_value,mistral_7b_instruct,characteristic_gender,bias,characteristic gender,n_value,8,False,8,8,0,0,8
test,hall_given_value,mistral_7b_instruct,city_in_country,factual,city in country,n_value,7,False,7,7,0,7,0
test,hall_given_value,mistral_7b_instruct,company_ceo,factual,company CEO,n_value,73,True,75,73,2,41,32
test,hall_given_value,mistral_7b_instruct,company_hq,factual,company hq,n_value,164,True,169,164,5,113,51
test,hall_given_value,mistral_7b_instruct,country_capital_city,factual,country capital city,n_value,6,False,6,6,0,6,0
test,hall_given_value,mistral_7b_instruct,country_currency,factual,country currency,n_value,8,False,8,8,0,7,1
test,hall_given_value,mistral_7b_instruct,country_language,factual,country language,n_value,6,False,6,6,0,6,0
test,hall_given_value,mistral_7b_instruct,country_largest_city,factual,country largest city,n_value,6,False,6,6,0,6,0
test,hall_given_value,mistral_7b_instruct,degree_gender,bias,univ degree gender,n_value,10,False,10,10,0,0,10
test,hall_given_value,mistral_7b_instruct,food_from_country,factual,food from country,n_value,8,False,8,8,0,8,0
test,hall_given_value,mistral_7b_instruct,fruit_inside_color,commonsense,fruit inside color,n_value,9,False,9,9,0,9,0
test,hall_given_value,mistral_7b_instruct,fruit_outside_color,commonsense,fruit outside color,n_value,8,False,8,8,0,7,1
test,hall_given_value,mistral_7b_instruct,landmark_in_country,factual,landmark in country,n_value,203,True,209,203,6,175,28
test,hall_given_value,mistral_7b_instruct,landmark_on_continent,factual,landmark on continent,n_value,226,True,237,226,11,137,89
test,hall_given_value,mistral_7b_instruct,name_birthplace,bias,name birthplace,n_value,8,False,8,8,0,6,2
test,hall_given_value,mistral_7b_instruct,name_gender,bias,name gender,n_value,5,False,5,5,0,5,0
test,hall_given_value,mistral_7b_instruct,name_religion,bias,name religion,n_value,6,False,8,6,2,6,0
test,hall_given_value,mistral_7b_instruct,object_superclass,commonsense,object superclass,n_value,19,True,19,19,0,14,5
test,hall_given_value,mistral_7b_instruct,occupation_age,bias,occupation age,n_value,12,True,12,12,0,4,8
test,hall_given_value,mistral_7b_instruct,occupation_gender,bias,occupation gender,n_value,5,False,5,5,0,0,5
test,hall_given_value,mistral_7b_instruct,person_band_lead_singer,factual,person lead singer of band,n_value,6,False,6,6,0,6,0
test,hall_given_value,mistral_7b_instruct,person_father,factual,person father,n_value,231,True,248,231,17,94,137
test,hall_given_value,mistral_7b_instruct,person_mother,factual,person mother,n_value,220,True,249,220,29,55,165
test,hall_given_value,mistral_7b_instruct,person_native_language,bias,person native language,n_value,226,True,230,226,4,210,16
test,hall_given_value,mistral_7b_instruct,person_occupation,factual,person occupation,n_value,195,True,206,195,11,75,120
test,hall_given_value,mistral_7b_instruct,person_plays_instrument,factual,person plays instrument,n_value,128,True,129,128,1,67,61
test,hall_given_value,mistral_7b_instruct,person_plays_position_in_sport,factual,person sport position,n_value,230,True,238,230,8,116,114
test,hall_given_value,mistral_7b_instruct,person_plays_pro_sport,factual,plays pro sport,n_value,80,True,80,80,0,74,6
test,hall_given_value,mistral_7b_instruct,person_university,factual,person university,n_value,23,True,23,23,0,5,18
test,hall_given_value,mistral_7b_instruct,pokemon_evolutions,factual,pokemon evolution,n_value,11,True,11,11,0,10,1
test,hall_given_value,mistral_7b_instruct,presidents_birth_year,factual,president birth year,n_value,5,False,5,5,0,0,5
test,hall_given_value,mistral_7b_instruct,presidents_election_year,factual,president election year,n_value,5,False,5,5,0,5,0
test,hall_given_value,mistral_7b_instruct,product_by_company,factual,product by company,n_value,131,True,131,131,0,111,20
test,hall_given_value,mistral_7b_instruct,star_constellation,factual,star constellation name,n_value,90,True,91,90,1,68,22
test,hall_given_value,mistral_7b_instruct,substance_phase,commonsense,substance phase of matter,n_value,13,True,13,13,0,13,0
test,hall_given_value,mistral_7b_instruct,superhero_archnemesis,factual,superhero archnemesis,n_value,24,True,24,24,0,9,15
test,hall_given_value,mistral_7b_instruct,superhero_person,factual,superhero person,n_value,25,True,25,25,0,19,6
test,hall_given_value,mistral_7b_instruct,task_done_by_person,commonsense,task person type,n_value,8,False,8,8,0,5,3
test,hall_given_value,mistral_7b_instruct,task_done_by_tool,commonsense,task done by tool,n_value,13,True,13,13,0,7,6
test,hall_given_value,mistral_7b_instruct,verb_past_tense,linguistic,verb past tense,n_value,19,True,19,19,0,19,0
test,hall_given_value,mistral_7b_instruct,word_first_letter,linguistic,word first letter,n_value,61,True,61,61,0,61,0
test,hall_given_value,mistral_7b_instruct,word_last_letter,linguistic,word last letter,n_value,61,True,61,61,0,40,21
test,hall_given_value,mistral_7b_instruct,word_sentiment,commonsense,word sentiment,n_value,15,True,15,15,0,14,1
test,hall_given_value,mistral_7b_instruct,work_location,commonsense,work location,n_value,10,False,10,10,0,8,2
test,hall_given_value,qwen2_5_7b_instruct,adj_antonym,linguistic,adjective antonym,n_value,25,True,25,25,0,16,9
test,hall_given_value,qwen2_5_7b_instruct,adj_comparative,linguistic,adjective comparative,n_value,17,True,17,17,0,17,0
test,hall_given_value,qwen2_5_7b_instruct,adj_superlative,linguistic,adjective superlative,n_value,20,True,20,20,0,13,7
test,hall_given_value,qwen2_5_7b_instruct,characteristic_gender,bias,characteristic gender,n_value,8,False,8,8,0,1,7
test,hall_given_value,qwen2_5_7b_instruct,city_in_country,factual,city in country,n_value,7,False,7,7,0,7,0
test,hall_given_value,qwen2_5_7b_instruct,company_ceo,factual,company CEO,n_value,75,True,75,75,0,30,45
test,hall_given_value,qwen2_5_7b_instruct,company_hq,factual,company hq,n_value,166,True,169,166,3,87,79
test,hall_given_value,qwen2_5_7b_instruct,country_capital_city,factual,country capital city,n_value,6,False,6,6,0,6,0
test,hall_given_value,qwen2_5_7b_instruct,country_currency,factual,country currency,n_value,8,False,8,8,0,7,1
test,hall_given_value,qwen2_5_7b_instruct,country_language,factual,country language,n_value,6,False,6,6,0,6,0
test,hall_given_value,qwen2_5_7b_instruct,country_largest_city,factual,country largest city,n_value,6,False,6,6,0,5,1
test,hall_given_value,qwen2_5_7b_instruct,degree_gender,bias,univ degree gender,n_value,10,False,10,10,0,4,6
test,hall_given_value,qwen2_5_7b_instruct,food_from_country,factual,food from country,n_value,8,False,8,8,0,8,0
test,hall_given_value,qwen2_5_7b_instruct,fruit_inside_color,commonsense,fruit inside color,n_value,9,False,9,9,0,8,1
test,hall_given_value,qwen2_5_7b_instruct,fruit_outside_color,commonsense,fruit outside color,n_value,8,False,8,8,0,7,1
test,hall_given_value,qwen2_5_7b_instruct,landmark_in_country,factual,landmark in country,n_value,209,True,209,209,0,159,50
test,hall_given_value,qwen2_5_7b_instruct,landmark_on_continent,factual,landmark on continent,n_value,235,True,237,235,2,166,69
test,hall_given_value,qwen2_5_7b_instruct,name_birthplace,bias,name birthplace,n_value,8,False,8,8,0,6,2
test,hall_given_value,qwen2_5_7b_instruct,name_gender,bias,name gender,n_value,5,False,5,5,0,5,0
test,hall_given_value,qwen2_5_7b_instruct,name_religion,bias,name religion,n_value,8,False,8,8,0,7,1
test,hall_given_value,qwen2_5_7b_instruct,object_superclass,commonsense,object superclass,n_value,19,True,19,19,0,16,3
test,hall_given_value,qwen2_5_7b_instruct,occupation_age,bias,occupation age,n_value,12,True,12,12,0,7,5
test,hall_given_value,qwen2_5_7b_instruct,occupation_gender,bias,occupation gender,n_value,5,False,5,5,0,0,5
test,hall_given_value,qwen2_5_7b_instruct,person_band_lead_singer,factual,person lead singer of band,n_value,6,False,6,6,0,6,0
test,hall_given_value,qwen2_5_7b_instruct,person_father,factual,person father,n_value,247,True,248,247,1,42,205
test,hall_given_value,qwen2_5_7b_instruct,person_mother,factual,person mother,n_value,248,True,249,248,1,17,231
test,hall_given_value,qwen2_5_7b_instruct,person_native_language,bias,person native language,n_value,230,True,230,230,0,210,20
test,hall_given_value,qwen2_5_7b_instruct,person_occupation,factual,person occupation,n_value,206,True,206,206,0,44,162
test,hall_given_value,qwen2_5_7b_instruct,person_plays_instrument,factual,person plays instrument,n_value,128,True,129,128,1,56,72
test,hall_given_value,qwen2_5_7b_instruct,person_plays_position_in_sport,factual,person sport position,n_value,238,True,238,238,0,83,155
test,hall_given_value,qwen2_5_7b_instruct,person_plays_pro_sport,factual,plays pro sport,n_value,80,True,80,80,0,67,13
test,hall_given_value,qwen2_5_7b_instruct,person_university,factual,person university,n_value,23,True,23,23,0,3,20
test,hall_given_value,qwen2_5_7b_instruct,pokemon_evolutions,factual,pokemon evolution,n_value,11,True,11,11,0,6,5
test,hall_given_value,qwen2_5_7b_instruct,presidents_birth_year,factual,president birth year,n_value,5,False,5,5,0,0,5
test,hall_given_value,qwen2_5_7b_instruct,presidents_election_year,factual,president election year,n_value,5,False,5,5,0,5,0
test,hall_given_value,qwen2_5_7b_instruct,product_by_company,factual,product by company,n_value,131,True,131,131,0,99,32
test,hall_given_value,qwen2_5_7b_instruct,star_constellation,factual,star constellation name,n_value,91,True,91,91,0,74,17
test,hall_given_value,qwen2_5_7b_instruct,substance_phase,commonsense,substance phase of matter,n_value,13,True,13,13,0,13,0
test,hall_given_value,qwen2_5_7b_instruct,superhero_archnemesis,factual,superhero archnemesis,n_value,24,True,24,24,0,8,16
test,hall_given_value,qwen2_5_7b_instruct,superhero_person,factual,superhero person,n_value,25,True,25,25,0,9,16
test,hall_given_value,qwen2_5_7b_instruct,task_done_by_person,commonsense,task person type,n_value,8,False,8,8,0,7,1
test,hall_given_value,qwen2_5_7b_instruct,task_done_by_tool,commonsense,task done by tool,n_value,13,True,13,13,0,5,8
test,hall_given_value,qwen2_5_7b_instruct,verb_past_tense,linguistic,verb past tense,n_value,19,True,19,19,0,19,0
test,hall_given_value,qwen2_5_7b_instruct,word_first_letter,linguistic,word first letter,n_value,61,True,61,61,0,61,0
test,hall_given_value,qwen2_5_7b_instruct,word_last_letter,linguistic,word last letter,n_value,61,True,61,61,0,49,12
test,hall_given_value,qwen2_5_7b_instruct,word_sentiment,commonsense,word sentiment,n_value,15,True,15,15,0,15,0
test,hall_given_value,qwen2_5_7b_instruct,work_location,commonsense,work location,n_value,10,False,10,10,0,6,4
test,refusal,gemma_7b_it,adj_antonym,linguistic,adjective antonym,n_total,25,True,25,25,0,18,7
test,refusal,gemma_7b_it,adj_comparative,linguistic,adjective comparative,n_total,17,True,17,17,0,16,1
test,refusal,gemma_7b_it,adj_superlative,linguistic,adjective superlative,n_total,20,True,20,20,0,17,3
test,refusal,gemma_7b_it,characteristic_gender,bias,characteristic gender,n_total,8,False,8,8,0,4,4
test,refusal,gemma_7b_it,city_in_country,factual,city in country,n_total,7,False,7,7,0,7,0
test,refusal,gemma_7b_it,company_ceo,factual,company CEO,n_total,75,True,75,62,13,22,40
test,refusal,gemma_7b_it,company_hq,factual,company hq,n_total,169,True,169,145,24,76,69
test,refusal,gemma_7b_it,country_capital_city,factual,country capital city,n_total,6,False,6,6,0,6,0
test,refusal,gemma_7b_it,country_currency,factual,country currency,n_total,8,False,8,8,0,7,1
test,refusal,gemma_7b_it,country_language,factual,country language,n_total,6,False,6,6,0,6,0
test,refusal,gemma_7b_it,country_largest_city,factual,country largest city,n_total,6,False,6,6,0,5,1
test,refusal,gemma_7b_it,degree_gender,bias,univ degree gender,n_total,10,False,10,10,0,1,9
test,refusal,gemma_7b_it,food_from_country,factual,food from country,n_total,8,False,8,8,0,8,0
test,refusal,gemma_7b_it,fruit_inside_color,commonsense,fruit inside color,n_total,9,False,9,9,0,6,3
test,refusal,gemma_7b_it,fruit_outside_color,commonsense,fruit outside color,n_total,8,False,8,8,0,6,2
test,refusal,gemma_7b_it,landmark_in_country,factual,landmark in country,n_total,209,True,209,184,25,120,64
test,refusal,gemma_7b_it,landmark_on_continent,factual,landmark on continent,n_total,237,True,237,214,23,79,135
test,refusal,gemma_7b_it,name_birthplace,bias,name birthplace,n_total,8,False,8,5,3,3,2
test,refusal,gemma_7b_it,name_gender,bias,name gender,n_total,5,False,5,5,0,2,3
test,refusal,gemma_7b_it,name_religion,bias,name religion,n_total,8,False,8,4,4,4,0
test,refusal,gemma_7b_it,object_superclass,commonsense,object superclass,n_total,19,True,19,19,0,16,3
test,refusal,gemma_7b_it,occupation_age,bias,occupation age,n_total,12,True,12,12,0,7,5
test,refusal,gemma_7b_it,occupation_gender,bias,occupation gender,n_total,5,False,5,5,0,1,4
test,refusal,gemma_7b_it,person_band_lead_singer,factual,person lead singer of band,n_total,6,False,6,6,0,6,0
test,refusal,gemma_7b_it,person_father,factual,person father,n_total,248,True,248,41,207,9,32
test,refusal,gemma_7b_it,person_mother,factual,person mother,n_total,249,True,249,43,206,10,33
test,refusal,gemma_7b_it,person_native_language,bias,person native language,n_total,230,True,230,224,6,180,44
test,refusal,gemma_7b_it,person_occupation,factual,person occupation,n_total,206,True,206,174,32,21,153
test,refusal,gemma_7b_it,person_plays_instrument,factual,person plays instrument,n_total,129,True,129,129,0,63,66
test,refusal,gemma_7b_it,person_plays_position_in_sport,factual,person sport position,n_total,238,True,238,237,1,75,162
test,refusal,gemma_7b_it,person_plays_pro_sport,factual,plays pro sport,n_total,80,True,80,80,0,67,13
test,refusal,gemma_7b_it,person_university,factual,person university,n_total,23,True,23,23,0,1,22
test,refusal,gemma_7b_it,pokemon_evolutions,factual,pokemon evolution,n_total,11,True,11,11,0,2,9
test,refusal,gemma_7b_it,presidents_birth_year,factual,president birth year,n_total,5,False,5,4,1,0,4
test,refusal,gemma_7b_it,presidents_election_year,factual,president election year,n_total,5,False,5,5,0,3,2
test,refusal,gemma_7b_it,product_by_company,factual,product by company,n_total,131,True,131,131,0,96,35
test,refusal,gemma_7b_it,star_constellation,factual,star constellation name,n_total,91,True,91,91,0,65,26
test,refusal,gemma_7b_it,substance_phase,commonsense,substance phase of matter,n_total,13,True,13,13,0,13,0
test,refusal,gemma_7b_it,superhero_archnemesis,factual,superhero archnemesis,n_total,24,True,24,24,0,7,17
test,refusal,gemma_7b_it,superhero_person,factual,superhero person,n_total,25,True,25,24,1,11,13
test,refusal,gemma_7b_it,task_done_by_person,commonsense,task person type,n_total,8,False,8,8,0,5,3
test,refusal,gemma_7b_it,task_done_by_tool,commonsense,task done by tool,n_total,13,True,13,13,0,6,7
test,refusal,gemma_7b_it,verb_past_tense,linguistic,verb past tense,n_total,19,True,19,19,0,19,0
test,refusal,gemma_7b_it,word_first_letter,linguistic,word first letter,n_total,61,True,61,61,0,61,0
test,refusal,gemma_7b_it,word_last_letter,linguistic,word last letter,n_total,61,True,61,61,0,46,15
test,refusal,gemma_7b_it,word_sentiment,commonsense,word sentiment,n_total,15,True,15,15,0,14,1
test,refusal,gemma_7b_it,work_location,commonsense,work location,n_total,10,False,10,10,0,6,4
test,refusal,llama3_1_8b_instruct,adj_antonym,linguistic,adjective antonym,n_total,25,True,25,25,0,17,8
test,refusal,llama3_1_8b_instruct,adj_comparative,linguistic,adjective comparative,n_total,17,True,17,17,0,17,0
test,refusal,llama3_1_8b_instruct,adj_superlative,linguistic,adjective superlative,n_total,20,True,20,20,0,16,4
test,refusal,llama3_1_8b_instruct,characteristic_gender,bias,characteristic gender,n_total,8,False,8,8,0,8,0
test,refusal,llama3_1_8b_instruct,city_in_country,factual,city in country,n_total,7,False,7,7,0,7,0
test,refusal,llama3_1_8b_instruct,company_ceo,factual,company CEO,n_total,75,True,75,69,6,28,41
test,refusal,llama3_1_8b_instruct,company_hq,factual,company hq,n_total,169,True,169,158,11,114,44
test,refusal,llama3_1_8b_instruct,country_capital_city,factual,country capital city,n_total,6,False,6,6,0,6,0
test,refusal,llama3_1_8b_instruct,country_currency,factual,country currency,n_total,8,False,8,8,0,7,1
test,refusal,llama3_1_8b_instruct,country_language,factual,country language,n_total,6,False,6,6,0,6,0
test,refusal,llama3_1_8b_instruct,country_largest_city,factual,country largest city,n_total,6,False,6,6,0,6,0
test,refusal,llama3_1_8b_instruct,degree_gender,bias,univ degree gender,n_total,10,False,10,10,0,9,1
test,refusal,llama3_1_8b_instruct,food_from_country,factual,food from country,n_total,8,False,8,8,0,8,0
test,refusal,llama3_1_8b_instruct,fruit_inside_color,commonsense,fruit inside color,n_total,9,False,9,9,0,8,1
test,refusal,llama3_1_8b_instruct,fruit_outside_color,commonsense,fruit outside color,n_total,8,False,8,8,0,7,1
test,refusal,llama3_1_8b_instruct,landmark_in_country,factual,landmark in country,n_total,209,True,209,209,0,188,21
test,refusal,llama3_1_8b_instruct,landmark_on_continent,factual,landmark on continent,n_total,237,True,237,233,4,178,55
test,refusal,llama3_1_8b_instruct,name_birthplace,bias,name birthplace,n_total,8,False,8,8,0,7,1
test,refusal,llama3_1_8b_instruct,name_gender,bias,name gender,n_total,5,False,5,5,0,5,0
test,refusal,llama3_1_8b_instruct,name_religion,bias,name religion,n_total,8,False,8,7,1,7,0
test,refusal,llama3_1_8b_instruct,object_superclass,commonsense,object superclass,n_total,19,True,19,19,0,16,3
test,refusal,llama3_1_8b_instruct,occupation_age,bias,occupation age,n_total,12,True,12,12,0,6,6
test,refusal,llama3_1_8b_instruct,occupation_gender,bias,occupation gender,n_total,5,False,5,5,0,4,1
