subject,n_prompts,relation_keys,norm_subject,verdict,exact_hits,best_source,best_candidate,best_score,best_desc,wiki_exact_titles,wiki_search_titles,n_wikidata_hits
Baru Didoki,1,person_plays_position_in_sport,barudidoki,clean,,,,0.0,,,,0
Baru Didoli,1,person_plays_pro_sport,barudidoli,clean,,,,0.0,wikidata_error::RetryError,,,0
Baru Didota,1,person_occupation,barudidota,clean,,,,0.0,wiki_error::RetryError,,,0
Basa Dilado,1,person_father,basadilado,clean,,,,0.0,wiki_error::RetryError,,,0
Basa-91392,1,star_constellation,basa91392,clean,,,,0.0,wikidata_error::RetryError,,,0
Basaka Labs,1,company_hq,basakalabs,clean,,,,0.0,wiki_error::RetryError,,,0
Base Diriri,1,person_occupation,basediriri,clean,,,,0.0,,,,0
Baseke Partners,1,company_ceo,basekepartners,clean,,,,0.0,,,,0
Basi Disuba,1,person_plays_position_in_sport,basidisuba,clean,,,,0.0,,,,0
Basi Disuka,1,person_plays_instrument,basidisuka,clean,,,,0.0,,,,0
Basi-41376,1,star_constellation,basi41376,clean,,,,0.0,,,,0
Basita Labs,1,company_ceo,basitalabs,clean,,,,0.0,wiki_error::RetryError,,,0
Baso Dibudo,1,person_father,basodibudo,clean,,,,0.0,,,,0
Baso Dibuke,1,person_father,basodibuke,clean,,,,0.0,,,,0
Baso Dibura,1,person_occupation,basodibura,clean,,,,0.0,,,,0
Basole App,1,product_by_company,basoleapp,clean,,,,0.0,,,,0
Basu Dikeka,1,person_university,basudikeka,clean,,,,0.0,wikidata_error::RetryError,,,0
Bata Dilobu,1,person_father,batadilobu,clean,,,,0.0,,,,0
Bate Disare,1,person_plays_instrument,batedisare,clean,,,,0.0,,,,0
Bate-56192,1,star_constellation,bate56192,clean,,,,0.0,,,,0
Bateka Holdings,1,company_hq,batekaholdings,clean,,,,0.0,,,,0
Batela Monument,1,landmark_on_continent,batelamonument,clean,,,,0.0,,,,0
Batese Technologies,1,company_ceo,batesetechnologies,clean,,,,0.0,,,,0
Beba Kureda,1,person_occupation,bebakureda,clean,,,,0.0,,,,0
Beba Kuredi,1,person_occupation,bebakuredi,clean,,,,0.0,,,,0
Beba Kurela,1,person_mother,bebakurela,clean,,,,0.0,,,,0
Bebara Bridge,1,landmark_on_continent,bebarabridge,clean,,,,0.0,,,,0
Bebe Kusobi,1,person_occupation,bebekusobi,clean,,,,0.0,wikidata_error::RetryError,,,0
Bebe Kusodu,2,person_plays_instrument|person_plays_position_in_sport,bebekusodu,clean,,,,0.0,,,,0
Bebe Kusoko,1,person_occupation,bebekusoko,clean,,,,0.0,,,,0
Bebiko Labs,1,company_ceo,bebikolabs,clean,,,,0.0,,,,0
Bebo Kukabi,1,person_university,bebokukabi,clean,,,,0.0,,,,0
Bebo Kukali,1,person_plays_position_in_sport,bebokukali,clean,,,,0.0,,,,0
Bebo Kukaru,1,person_university,bebokukaru,clean,,,,0.0,wikidata_error::RetryError,,,0
Bebu Kuliko,1,person_mother,bebukuliko,clean,,,,0.0,,,,0
Bedaki Corp,1,company_ceo,bedakicorp,clean,,,,0.0,,,,0
Bedalu Engine,1,product_by_company,bedaluengine,clean,,,,0.0,,,,0
Bedaso Suite,1,product_by_company,bedasosuite,clean,,,,0.0,,,,0
Bede Kutete,1,person_occupation,bedekutete,clean,,,,0.0,,,,0
Bedile Gadget,1,product_by_company,bedilegadget,clean,,,,0.0,,,,0
Bedo Kukoba,1,person_plays_instrument,bedokukoba,clean,,,,0.0,,,,0
Bedu Kuralo,1,person_university,bedukuralo,clean,,,,0.0,,,,0
Beduba Technologies,1,company_hq,bedubatechnologies,clean,,,,0.0,wikidata_error::RetryError,,,0
Bedule Corp,1,company_ceo,bedulecorp,clean,,,,0.0,,,,0
Beka Kusite,1,person_plays_instrument,bekakusite,clean,,,,0.0,,,,0
Bekalo Monument,1,landmark_in_country,bekalomonument,clean,,,,0.0,,,,0
Beke Kubike,1,person_mother,bekekubike,clean,,,,0.0,,,,0
Beke Kubira,1,person_father,bekekubira,clean,,,,0.0,,,,0
Bekesu Monument,1,landmark_on_continent,bekesumonument,clean,,,,0.0,,,,0
Beko-25185,1,star_constellation,beko25185,clean,,,,0.0,,,,0
Beko-39905,1,star_constellation,beko39905,clean,,,,0.0,,,,0
Beko-83521,1,star_constellation,beko83521,clean,,,,0.0,,,,0
Bekodo Museum,1,landmark_on_continent,bekodomuseum,clean,,,,0.0,wikidata_error::RetryError,,,0
Bekosa Museum,1,landmark_in_country,bekosamuseum,clean,,,,0.0,,,,0
Beku Kurodu,1,person_university,bekukurodu,clean,,,,0.0,,,,0
Bekude Holdings,1,company_hq,bekudeholdings,clean,,,,0.0,,,,0
Bela Kutare,1,person_plays_position_in_sport,belakutare,clean,,,,0.0,,,,0
Bela Kutasi,1,person_plays_pro_sport,belakutasi,clean,,,,0.0,,,,0
Belaki Corp,1,company_ceo,belakicorp,clean,,,,0.0,wikidata_error::RetryError,,,0
Belata Museum,1,landmark_on_continent,belatamuseum,clean,,,,0.0,,,,0
Bele Kudada,1,person_university,belekudada,clean,,,,0.0,,,,0
Bele Kudare,1,person_university,belekudare,clean,,,,0.0,,,,0
Beleta Holdings,1,company_hq,beletaholdings,clean,,,,0.0,,,,0
Beli Kukisu,1,person_mother,belikukisu,clean,,,,0.0,,,,0
Beli-16577,1,star_constellation,beli16577,clean,,,,0.0,,,,0
Beli-42433,1,star_constellation,beli42433,clean,,,,0.0,,,,0
Belila Technologies,1,company_ceo,belilatechnologies,clean,,,,0.0,,,,0
Belo Kuluri,1,person_father,belokuluri,clean,,,,0.0,,,,0
Belora Corp,1,company_ceo,beloracorp,clean,,,,0.0,,,,0
Belu Kusede,1,person_plays_pro_sport,belukusede,clean,,,,0.0,,,,0
Beluru Technologies,1,company_ceo,belurutechnologies,clean,,,,0.0,,,,0
Bera Kubera,1,person_plays_instrument,berakubera,clean,,,,0.0,,,,0
Berabu Tower,1,landmark_on_continent,berabutower,clean,,,,0.0,wikidata_error::RetryError,,,0
Berete Hall,1,landmark_on_continent,beretehall,clean,,,,0.0,wikidata_error::RetryError,,,0
Beri Kulabu,1,person_occupation,berikulabu,clean,,,,0.0,,,,0
Berise Bridge,1,landmark_on_continent,berisebridge,clean,,,,0.0,,,,0
Bero Kurire,1,person_occupation,berokurire,clean,,,,0.0,wikidata_error::RetryError,,,0
Beroko App,1,product_by_company,berokoapp,clean,,,,0.0,wikidata_error::RetryError,,,0
Berudi App,1,product_by_company,berudiapp,clean,,,,0.0,wikidata_error::RetryError,,,0
Besa Kububa,1,person_plays_instrument,besakububa,clean,,,,0.0,,,,0
Besasi Technologies,1,company_ceo,besasitechnologies,clean,,,,0.0,,,,0
Bese Kukera,1,person_university,besekukera,clean,,,,0.0,,,,0
Besi Kulola,2,person_father|person_plays_position_in_sport,besikulola,clean,,,,0.0,wiki_error::RetryError,,,0
Besidi Corp,1,company_ceo,besidicorp,clean,,,,0.0,wiki_error::RetryError,,,0
Besila Holdings,1,company_hq,besilaholdings,clean,,,,0.0,,,,0
Besoso Holdings,1,company_ceo,besosoholdings,clean,,,,0.0,,,,0
Besu Kubaba,1,person_university,besukubaba,clean,,,,0.0,wiki_error::RetryError,,,0
Besu Kubake,1,person_occupation,besukubake,clean,,,,0.0,,,,0
Besu Kubale,1,person_occupation,besukubale,clean,,,,0.0,wiki_error::RetryError,,,0
Besu Kubase,1,person_father,besukubase,clean,,,,0.0,wikidata_error::RetryError,,,0
Besu-44161,1,star_constellation,besu44161,clean,,,,0.0,wiki_error::RetryError,,,0
Beta Kudiba,1,person_plays_instrument,betakudiba,clean,,,,0.0,wikidata_error::RetryError,,,0
Beta Kudidi,1,person_plays_pro_sport,betakudidi,clean,,,,0.0,,,,0
Beta Kudiri,1,person_university,betakudiri,clean,,,,0.0,wiki_error::RetryError,,,0
Beta Kudisi,1,person_mother,betakudisi,clean,,,,0.0,,,,0
Betata Bridge,1,landmark_on_continent,betatabridge,clean,,,,0.0,wiki_error::RetryError,,,0
Bete Kukude,1,person_plays_pro_sport,betekukude,clean,,,,0.0,wikidata_error::RetryError,,,0
Bete Kukuli,1,person_plays_position_in_sport,betekukuli,clean,,,,0.0,,,,0
Bete Kukusu,1,person_mother,betekukusu,clean,,,,0.0,,,,0
Betebu Plaza,1,landmark_on_continent,betebuplaza,clean,,,,0.0,wiki_error::RetryError,,,0
Betela Labs,1,company_ceo,betelalabs,clean,,,,0.0,wiki_error::RetryError,,,0
Biba Rekabo,1,person_plays_pro_sport,bibarekabo,clean,,,,0.0,wikidata_error::RetryError,,,0
Biba Rekadu,1,person_mother,bibarekadu,clean,,,,0.0,,,,0
Biba Rekare,1,person_mother,bibarekare,clean,,,,0.0,,,,0
Biba Rekaso,1,person_plays_pro_sport,bibarekaso,clean,,,,0.0,,,,0
Bibalo Platform,1,product_by_company,bibaloplatform,clean,,,,0.0,,,,0
Bibasu Holdings,1,company_hq,bibasuholdings,clean,,,,0.0,,,,0
Bibe Relidu,1,person_mother,biberelidu,clean,,,,0.0,wikidata_error::RetryError,,,0
Bibe Relila,1,person_plays_pro_sport,biberelila,clean,,,,0.0,wikidata_error::RetryError,,,0
Bibebe Platform,1,product_by_company,bibebeplatform,clean,,,,0.0,wiki_error::RetryError,,,0
Bibi Reruka,1,person_plays_instrument,bibireruka,clean,,,,0.0,,,,0
Bibo-67618,1,star_constellation,bibo67618,clean,,,,0.0,,,,0
Bibodu Group,1,company_ceo,bibodugroup,clean,,,,0.0,wikidata_error::RetryError,,,0
Biboro Plaza,1,landmark_in_country,biboroplaza,clean,,,,0.0,,,,0
Bida Rekobe,1,person_university,bidarekobe,clean,,,,0.0,wiki_error::RetryError,,,0
Bida Rekolu,1,person_plays_instrument,bidarekolu,clean,,,,0.0,,,,0
Bidaku Holdings,1,company_hq,bidakuholdings,clean,,,,0.0,,,,0
Bide Rerada,1,person_occupation,bidererada,clean,,,,0.0,wikidata_error::RetryError,,,0
Bide Rerasa,1,person_plays_position_in_sport,bidererasa,clean,,,,0.0,,,,0
Bidedi Corp,1,company_ceo,bidedicorp,clean,,,,0.0,,,,0
Bideli Tower,1,landmark_in_country,bidelitower,clean,,,,0.0,,,,0
Bidilo Partners,1,company_ceo,bidilopartners,clean,,,,0.0,,,,0
Bido Rebibe,1,person_university,bidorebibe,clean,,,,0.0,wiki_error::RetryError,,,0
Bido Rebida,1,person_university,bidorebida,clean,,,,0.0,,,,0
Bidu Redusi,1,person_plays_position_in_sport,biduredusi,clean,,,,0.0,,,,0
Bike Reroka,1,person_plays_position_in_sport,bikereroka,clean,,,,0.0,,,,0
Bikesa Museum,1,landmark_in_country,bikesamuseum,clean,,,,0.0,,,,0
Biki Retaba,1,person_plays_instrument,bikiretaba,clean,,,,0.0,,,,0
Biki Retadu,1,person_mother,bikiretadu,clean,,,,0.0,,,,0
Biki Retaro,1,person_university,bikiretaro,clean,,,,0.0,,,,0
Biki Retaso,1,person_plays_instrument,bikiretaso,clean,,,,0.0,,,,0
Biki Retate,1,person_plays_position_in_sport,bikiretate,clean,,,,0.0,,,,0
Biki-57186,1,star_constellation,biki57186,clean,,,,0.0,,,,0
Biko Redada,1,person_university,bikoredada,clean,,,,0.0,,,,0
Biko Redala,1,person_father,bikoredala,clean,,,,0.0,,,,0
Bikude Systems,1,company_hq,bikudesystems,clean,,,,0.0,wikidata_error::RetryError,,,0
Bila Reluli,1,person_father,bilareluli,clean,,,,0.0,,,,0
Bile Resebi,1,person_university,bileresebi,clean,,,,0.0,,,,0
Bileke Engine,1,product_by_company,bilekeengine,clean,,,,0.0,,,,0
Bileki Partners,1,company_hq,bilekipartners,clean,,,,0.0,,,,0
Bileku Tower,1,landmark_on_continent,bilekutower,clean,,,,0.0,,,,0
Bilere Plaza,1,landmark_in_country,bilereplaza,clean,,,,0.0,,,,0
Bilisu Park,1,landmark_in_country,bilisupark,clean,,,,0.0,,,,0
Bilo Redobi,1,person_university,biloredobi,clean,,,,0.0,,,,0
Bilu Relalo,1,person_father,bilurelalo,clean,,,,0.0,,,,0
Bilu Relaru,1,person_plays_position_in_sport,bilurelaru,clean,,,,0.0,,,,0
Biludu Corp,1,company_hq,biluducorp,clean,,,,0.0,,,,0
Biludu Technologies,1,company_hq,biludutechnologies,clean,,,,0.0,,,,0
Bira Reriri,1,person_plays_position_in_sport,birareriri,clean,,,,0.0,,,,0
Bira Rerise,1,person_plays_pro_sport,birarerise,clean,,,,0.0,,,,0
Biraso Hall,1,landmark_on_continent,birasohall,clean,,,,0.0,,,,0
Biraso Holdings,1,company_ceo,birasoholdings,clean,,,,0.0,,,,0
Birede Monument,1,landmark_in_country,biredemonument,clean,,,,0.0,,,,0
Biri Rebudo,1,person_occupation,birirebudo,clean,,,,0.0,,,,0
Biri Rebuka,1,person_occupation,birirebuka,clean,,,,0.0,,,,0
Biri Rebure,1,person_plays_instrument,birirebure,clean,,,,0.0,,,,0
Biru Relolu,1,person_occupation,birurelolu,clean,,,,0.0,,,,0
Biru Relora,1,person_plays_position_in_sport,birurelora,clean,,,,0.0,,,,0
Bisa Resasu,1,person_occupation,bisaresasu,clean,,,,0.0,,,,0
Bisa-12930,1,star_constellation,bisa12930,clean,,,,0.0,,,,0
Bisade Tower,1,landmark_in_country,bisadetower,clean,,,,0.0,wikidata_error::RetryError,,,0
Bisedo Platform,1,product_by_company,bisedoplatform,clean,,,,0.0,,,,0
Biselu Systems,1,company_hq,biselusystems,clean,,,,0.0,,,,0
Bisi Redibu,1,person_plays_instrument,bisiredibu,clean,,,,0.0,,,,0
Bisi Redile,2,person_father|person_plays_position_in_sport,bisiredile,clean,,,,0.0,,,,0
Bisiku Tower,1,landmark_in_country,bisikutower,clean,,,,0.0,,,,0
Bisobe Group,1,company_ceo,bisobegroup,clean,,,,0.0,,,,0
Bisoro Technologies,1,company_hq,bisorotechnologies,clean,,,,0.0,,,,0
Bita Resoda,1,person_university,bitaresoda,clean,,,,0.0,wikidata_error::RetryError,,,0
Bita Resodu,1,person_mother,bitaresodu,clean,,,,0.0,,,,0
Bita-62434,1,star_constellation,bita62434,clean,,,,0.0,,,,0
Bite Reboba,1,person_father,bitereboba,clean,,,,0.0,,,,0
Bite Reboku,1,person_occupation,bitereboku,clean,,,,0.0,,,,0
Boba Sotede,1,person_plays_position_in_sport,bobasotede,clean,,,,0.0,,,,0
Boba Sotela,1,person_mother,bobasotela,clean,,,,0.0,,,,0
Bobabo Museum,1,landmark_on_continent,bobabomuseum,clean,,,,0.0,,,,0
Bobe Sodedu,1,person_plays_position_in_sport,bobesodedu,clean,,,,0.0,,,,0
Bobe Soderi,1,person_plays_position_in_sport,bobesoderi,clean,,,,0.0,,,,0
Bobe-17379,1,star_constellation,bobe17379,clean,,,,0.0,,,,0
Bobeda Hall,1,landmark_on_continent,bobedahall,clean,,,,0.0,,,,0
Bobiba Group,1,company_ceo,bobibagroup,clean,,,,0.0,,,,0
Bobo Soradi,1,person_university,bobosoradi,clean,,,,0.0,,,,0
Bobo Soralo,1,person_plays_position_in_sport,bobosoralo,clean,,,,0.0,,,,0
Bobo Soraso,2,person_mother|person_plays_pro_sport,bobosoraso,clean,,,,0.0,,,,0
Bobu Sosire,1,person_occupation,bobusosire,clean,,,,0.0,,,,0
Bobudo Monument,1,landmark_on_continent,bobudomonument,clean,,,,0.0,wikidata_error::RetryError,,,0
Boburi Labs,1,company_ceo,boburilabs,clean,,,,0.0,,,,0
Bode Sodusa,1,person_mother,bodesodusa,clean,,,,0.0,,,,0
Bodi Soleke,1,person_plays_instrument,bodisoleke,clean,,,,0.0,,,,0
Bodi-43267,1,star_constellation,bodi43267,clean,,,,0.0,,,,0
Bodiba Suite,1,product_by_company,bodibasuite,clean,,,,0.0,,,,0
Bodo Sorobo,1,person_father,bodosorobo,clean,,,,0.0,,,,0
Bodo Sorodi,1,person_father,bodosorodi,clean,,,,0.0,,,,0
Bodobe Group,1,company_ceo,bodobegroup,clean,,,,0.0,wikidata_error::RetryError,,,0
Bodosu Tower,1,landmark_on_continent,bodosutower,clean,,,,0.0,wikidata_error::RetryError,,,0
Bodota Engine,1,product_by_company,bodotaengine,clean,,,,0.0,,,,0
Bodu Sotadu,1,person_plays_pro_sport,bodusotadu,clean,,,,0.0,,,,0
Bodu Sotasi,1,person_father,bodusotasi,clean,,,,0.0,wikidata_error::RetryError,,,0
Bodubo Labs,1,company_ceo,bodubolabs,clean,,,,0.0,wiki_error::RetryError,,,0
Boduse Holdings,1,company_hq,boduseholdings,clean,,,,0.0,wikidata_error::RetryError,,,0
Bokala Monument,1,landmark_on_continent,bokalamonument,clean,,,,0.0,wikidata_error::RetryError,,,0
Boke Sokida,1,person_mother,bokesokida,clean,,,,0.0,,,,0
Boke Sokike,1,person_plays_pro_sport,bokesokike,clean,,,,0.0,,,,0
Bokebe Holdings,1,company_hq,bokebeholdings,clean,,,,0.0,wiki_error::RetryError,,,0
Bokede Hall,1,landmark_in_country,bokedehall,clean,,,,0.0,wikidata_error::RetryError,,,0
Bokelo Labs,1,company_hq,bokelolabs,clean,,,,0.0,,,,0
Bokeri Partners,1,company_ceo,bokeripartners,clean,,,,0.0,,,,0
Boko Soseta,1,person_plays_instrument,bokososeta,clean,,,,0.0,,,,0
Boku Sobeki,1,person_plays_pro_sport,bokusobeki,clean,,,,0.0,,,,0
Bola Sodora,1,person_university,bolasodora,clean,,,,0.0,,,,0
Bolado Museum,1,landmark_on_continent,boladomuseum,clean,,,,0.0,,,,0
Bole Solalo,1,person_mother,bolesolalo,clean,,,,0.0,,,,0
Boli Soribu,1,person_plays_pro_sport,bolisoribu,clean,,,,0.0,,,,0
Boli Sorika,1,person_occupation,bolisorika,clean,,,,0.0,,,,0
Bolisa Hall,1,landmark_in_country,bolisahall,clean,,,,0.0,,,,0
Bolo-03459,1,star_constellation,bolo03459,clean,,,,0.0,,,,0
Bolu Soburi,1,person_plays_position_in_sport,bolusoburi,clean,,,,0.0,,,,0
Bolu Sobusa,1,person_plays_pro_sport,bolusobusa,clean,,,,0.0,,,,0
Bolu Sobusu,1,person_plays_instrument,bolusobusu,clean,,,,0.0,,,,0
Boludu Tower,1,landmark_on_continent,boludutower,clean,,,,0.0,,,,0
Bore Soloba,1,person_plays_position_in_sport,boresoloba,clean,,,,0.0,,,,0
Bore-05187,1,star_constellation,bore05187,clean,,,,0.0,,,,0
Borebu Labs,1,company_ceo,borebulabs,clean,,,,0.0,,,,0
Boredo Museum,1,landmark_on_continent,boredomuseum,clean,,,,0.0,,,,0
Borelo Museum,1,landmark_in_country,borelomuseum,clean,,,,0.0,,,,0
Bori Sosase,1,person_plays_instrument,borisosase,clean,,,,0.0,,,,0
Boro Sobalo,1,person_university,borosobalo,clean,,,,0.0,,,,0
Boro Sobaso,1,person_mother,borosobaso,clean,,,,0.0,,,,0
Borodo Engine,1,product_by_company,borodoengine,clean,,,,0.0,,,,0
Boru Sodide,1,person_father,borusodide,clean,,,,0.0,,,,0
Boru Sodiri,1,person_mother,borusodiri,clean,,,,0.0,,,,0
Borula Suite,1,product_by_company,borulasuite,clean,,,,0.0,,,,0
Boruso Systems,1,company_hq,borusosystems,clean,,,,0.0,,,,0
Boruta Museum,1,landmark_in_country,borutamuseum,clean,,,,0.0,,,,0
Bosa Sokura,1,person_plays_instrument,bosasokura,clean,,,,0.0,,,,0
Bose Soreri,1,person_plays_instrument,bosesoreri,clean,,,,0.0,,,,0
Bosira Plaza,1,landmark_on_continent,bosiraplaza,clean,,,,0.0,,,,0
Bosisa Tower,1,landmark_on_continent,bosisatower,clean,,,,0.0,,,,0
Boso Sobora,1,person_plays_pro_sport,bososobora,clean,,,,0.0,,,,0
Bosodu Technologies,1,company_hq,bosodutechnologies,clean,,,,0.0,,,,0
Bososu Engine,1,product_by_company,bososuengine,clean,,,,0.0,,,,0
Bosu Sokada,1,person_plays_pro_sport,bosusokada,clean,,,,0.0,,,,0
Bosude Device,1,product_by_company,bosudedevice,clean,,,,0.0,,,,0
Bosudu Park,1,landmark_in_country,bosudupark,clean,,,,0.0,,,,0
Bota Solido,1,person_mother,botasolido,clean,,,,0.0,,,,0
Bota Solire,1,person_university,botasolire,clean,,,,0.0,,,,0
Bota Solite,1,person_mother,botasolite,clean,,,,0.0,,,,0
Botata Labs,1,company_ceo,botatalabs,clean,,,,0.0,,,,0
Bote Soruki,1,person_plays_pro_sport,botesoruki,clean,,,,0.0,,,,0
Bote Sorule,1,person_father,botesorule,clean,,,,0.0,,,,0
Bote Soruro,1,person_university,botesoruro,clean,,,,0.0,,,,0
Bote-54947,1,star_constellation,bote54947,clean,,,,0.0,,,,0
Boteri Labs,1,company_hq,boterilabs,clean,,,,0.0,,,,0
Buba Borebe,1,person_university,bubaborebe,clean,,,,0.0,,,,0
Buba Borela,1,person_plays_pro_sport,bubaborela,clean,,,,0.0,,,,0
Buba Borere,1,person_father,bubaborere,clean,,,,0.0,,,,0
Bubadu Group,1,company_hq,bubadugroup,clean,,,,0.0,,,,0
Bube-10788,1,star_constellation,bube10788,clean,,,,0.0,,,,0
Bubete Technologies,1,company_hq,bubetetechnologies,clean,,,,0.0,,,,0
Bubibi Group,1,company_ceo,bubibigroup,clean,,,,0.0,,,,0
Bubido Corp,1,company_hq,bubidocorp,clean,,,,0.0,,,,0
Bubu Boliko,1,person_father,bububoliko,clean,,,,0.0,,,,0
Bubu-85220,1,star_constellation,bubu85220,clean,,,,0.0,,,,0
Buda Boruku,1,person_occupation,budaboruku,clean,,,,0.0,wikidata_error::RetryError,,,0
Bude Botedi,1,person_plays_position_in_sport,budebotedi,clean,,,,0.0,,,,0
Bude Boteka,1,person_plays_pro_sport,budeboteka,clean,,,,0.0,,,,0
Bude Boteko,1,person_mother,budeboteko,clean,,,,0.0,,,,0
Bude Boteso,1,person_occupation,budeboteso,clean,,,,0.0,,,,0
Bude-27364,1,star_constellation,bude27364,clean,,,,0.0,wikidata_error::RetryError,,,0
Budela Technologies,1,company_ceo,budelatechnologies,clean,,,,0.0,,,,0
Budi Bodere,1,person_father,budibodere,clean,,,,0.0,,,,0
Budili Systems,1,company_ceo,budilisystems,clean,,,,0.0,,,,0
Budo Bokodo,1,person_mother,budobokodo,clean,,,,0.0,,,,0
Buduba Engine,1,product_by_company,budubaengine,clean,,,,0.0,,,,0
Buduke Hall,1,landmark_on_continent,budukehall,clean,,,,0.0,,,,0
Budura Park,1,landmark_on_continent,budurapark,clean,,,,0.0,,,,0
Buka Bosiba,1,person_plays_pro_sport,bukabosiba,clean,,,,0.0,,,,0
Bukalo Park,1,landmark_in_country,bukalopark,clean,,,,0.0,,,,0
Buke Bobile,1,person_university,bukebobile,clean,,,,0.0,,,,0
Buke Bobisu,1,person_mother,bukebobisu,clean,,,,0.0,wikidata_error::RetryError,,,0
Bukesa Technologies,1,company_hq,bukesatechnologies,clean,,,,0.0,,,,0
Buki Bodula,1,person_plays_position_in_sport,bukibodula,clean,,,,0.0,,,,0
Buki Bodusi,1,person_plays_instrument,bukibodusi,clean,,,,0.0,,,,0
Buko Bolebi,1,person_occupation,bukobolebi,clean,,,,0.0,wikidata_error::RetryError,,,0
Buko Bolesi,1,person_occupation,bukobolesi,clean,,,,0.0,,,,0
