model_key,model_id,relation_key,relation_group,relation_name,n_total_base,n_used_after_align,n_train,n_test,base_cos_mean_test,affine_cos_mean_test,cos_improvement_affine,ridge_lambda,subject_layer,object_layer,use_chat_template,skipped_align,delta_cos_affine
gemma_7b_it,google/gemma-7b-it,person_plays_instrument,factual,person_plays_instrument,513,513,384,129,0.1202264055609703,0.9160985350608826,0.7958720922470093,0.01,14,26,True,0,0.7958720922470093
gemma_7b_it,google/gemma-7b-it,person_plays_position_in_sport,factual,person_plays_position_in_sport,952,952,714,238,0.1385653167963028,0.8600223064422607,0.7214569449424744,0.01,14,26,True,0,0.7214569449424744
gemma_7b_it,google/gemma-7b-it,person_plays_pro_sport,factual,person_plays_pro_sport,318,318,238,80,0.1289534717798233,0.9782848358154296,0.849331259727478,0.01,14,26,True,0,0.849331259727478
gemma_7b_it,google/gemma-7b-it,person_university,factual,person_university,91,91,68,23,0.1484970450401306,0.7742941379547119,0.6257970929145813,0.01,14,26,True,0,0.6257970929145813
gemma_7b_it,google/gemma-7b-it,product_by_company,factual,product_by_company,522,522,391,131,0.1835625022649765,0.8898381590843201,0.7062756419181824,0.01,14,26,True,0,0.7062756419181824
gemma_7b_it,google/gemma-7b-it,star_constellation,factual,star_constellation,362,362,271,91,0.1975684911012649,0.9170055985450744,0.7194372415542603,0.01,14,26,True,0,0.7194372415542603
gemma_7b_it,google/gemma-7b-it,substance_phase,commonsense,substance_phase,50,50,37,13,0.1499600559473037,0.981613278388977,0.8316531777381897,0.01,14,26,True,0,0.8316531777381897
gemma_7b_it,google/gemma-7b-it,superhero_archnemesis,factual,superhero_archnemesis,96,96,72,24,0.1929314732551574,0.6939834952354431,0.5010520815849304,0.01,14,26,True,0,0.5010520815849304
gemma_7b_it,google/gemma-7b-it,superhero_person,factual,superhero_person,100,100,75,25,0.1898450851440429,0.6964656114578247,0.5066205263137817,0.01,14,26,True,0,0.5066205263137817
gemma_7b_it,google/gemma-7b-it,task_done_by_tool,commonsense,task_done_by_tool,52,52,39,13,0.1684542298316955,0.7634366750717163,0.5949824452400208,0.01,14,26,True,0,0.5949824452400208
gemma_7b_it,google/gemma-7b-it,word_sentiment,commonsense,word_sentiment,60,60,45,15,0.1435307562351226,0.989842176437378,0.8463113307952881,0.01,14,26,True,0,0.8463113307952881
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,company_ceo,factual,company_ceo,298,298,223,75,0.1878925561904907,0.8119785785675049,0.6240860819816589,0.01,16,30,True,0,0.6240860819816589
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,company_hq,factual,company_hq,674,674,505,169,0.1746721267700195,0.7149453163146973,0.5402731895446777,0.01,16,30,True,0,0.5402731895446777
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,landmark_in_country,factual,landmark_in_country,836,836,627,209,0.1750044077634811,0.7779170274734497,0.6029126644134521,0.01,16,30,True,0,0.6029126644134521
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,landmark_on_continent,factual,landmark_on_continent,947,947,710,237,0.1801971942186355,0.931168496608734,0.7509713768959045,0.01,16,30,True,0,0.7509713768959045
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,object_superclass,commonsense,object_superclass,76,76,57,19,0.1959424316883087,0.8696084022521973,0.6736660003662109,0.01,16,30,True,0,0.6736660003662109
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,occupation_age,bias,occupation_age,45,45,33,12,0.1581987291574478,0.8921893239021301,0.7339906096458435,0.01,16,30,True,0,0.7339906096458435
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_father,factual,person_father,991,991,743,248,0.2647114992141723,0.813452422618866,0.5487408638000488,0.01,16,30,True,0,0.5487408638000488
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_mother,factual,person_mother,994,994,745,249,0.246596485376358,0.7999616861343384,0.5533652305603027,0.01,16,30,True,0,0.5533652305603027
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_native_language,bias,person_native_language,919,919,689,230,0.164568156003952,0.9117024540901184,0.747134268283844,0.01,16,30,True,0,0.747134268283844
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_occupation,factual,person_occupation,821,821,615,206,0.1750084608793258,0.7536733746528625,0.5786648392677307,0.01,16,30,True,0,0.5786648392677307
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_plays_instrument,factual,person_plays_instrument,513,513,384,129,0.1674061566591262,0.8836868405342102,0.7162808179855347,0.01,16,30,True,0,0.7162808179855347
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_plays_position_in_sport,factual,person_plays_position_in_sport,952,952,714,238,0.1918109506368637,0.835330605506897,0.6435196995735168,0.01,16,30,True,0,0.6435196995735168
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_plays_pro_sport,factual,person_plays_pro_sport,318,318,238,80,0.1676187515258789,0.8696649670600891,0.7020460963249207,0.01,16,30,True,0,0.7020460963249207
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,person_university,factual,person_university,91,91,68,23,0.2053741216659546,0.849239706993103,0.6438654065132141,0.01,16,30,True,0,0.6438654065132141
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,product_by_company,factual,product_by_company,522,522,391,131,0.1868821829557418,0.8485867977142334,0.6617045998573303,0.01,16,30,True,0,0.6617045998573303
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,star_constellation,factual,star_constellation,362,362,271,91,0.2233248054981231,0.9123228192329408,0.6889981031417847,0.01,16,30,True,0,0.6889981031417847
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,substance_phase,commonsense,substance_phase,50,50,37,13,0.1474378556013107,0.8886725306510925,0.7412347197532654,0.01,16,30,True,0,0.7412347197532654
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,superhero_archnemesis,factual,superhero_archnemesis,96,96,72,24,0.222210094332695,0.784886360168457,0.5626762509346008,0.01,16,30,True,0,0.5626762509346008
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,superhero_person,factual,superhero_person,100,100,75,25,0.217814639210701,0.7888932228088379,0.5710785388946533,0.01,16,30,True,0,0.5710785388946533
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,task_done_by_tool,commonsense,task_done_by_tool,52,52,39,13,0.2062156498432159,0.7629641890525818,0.5567484498023987,0.01,16,30,True,0,0.5567484498023987
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,word_sentiment,commonsense,word_sentiment,60,60,45,15,0.1997950226068496,0.9470418095588684,0.7472468614578247,0.01,16,30,True,0,0.7472468614578247
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_ceo,factual,company_ceo,298,298,223,75,0.1615181565284729,0.608411431312561,0.4468933045864105,0.01,16,30,True,0,0.4468933045864105
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_hq,factual,company_hq,674,674,505,169,0.1542628109455108,0.7226820588111877,0.5684192776679993,0.01,16,30,True,0,0.5684192776679993
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,landmark_in_country,factual,landmark_in_country,836,836,627,209,0.1286219656467437,0.8835028409957886,0.7548809051513672,0.01,16,30,True,0,0.7548809051513672
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,landmark_on_continent,factual,landmark_on_continent,947,947,710,237,0.1687109172344207,0.9458366632461548,0.7771257758140564,0.01,16,30,True,0,0.7771257758140564
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,object_superclass,commonsense,object_superclass,76,76,57,19,0.1145716235041618,0.8995879292488098,0.7850162982940674,0.01,16,30,True,0,0.7850162982940674
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,occupation_age,bias,occupation_age,45,45,33,12,0.1345673352479934,0.9292330741882324,0.7946657538414001,0.01,16,30,True,0,0.7946657538414001
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_father,factual,person_father,991,991,743,248,0.2190062552690506,0.592093288898468,0.3730870485305786,0.01,16,30,True,0,0.3730870485305786
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_mother,factual,person_mother,994,994,745,249,0.1756350696086883,0.5474607944488525,0.3718257248401642,0.01,16,30,True,0,0.3718257248401642
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_native_language,bias,person_native_language,919,919,689,230,0.0898504853248596,0.9592890739440918,0.869438648223877,0.01,16,30,True,0,0.869438648223877
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_occupation,factual,person_occupation,821,821,615,206,0.1210926547646522,0.8383187651634216,0.7172261476516724,0.01,16,30,True,0,0.7172261476516724
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_plays_instrument,factual,person_plays_instrument,513,513,384,129,0.1291064172983169,0.875373363494873,0.7462669014930725,0.01,16,30,True,0,0.7462669014930725
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_plays_position_in_sport,factual,person_plays_position_in_sport,952,952,714,238,0.1508877575397491,0.8917129039764404,0.7408252358436584,0.01,16,30,True,0,0.7408252358436584
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_plays_pro_sport,factual,person_plays_pro_sport,318,318,238,80,0.1019418686628341,0.9597538113594056,0.8578119277954102,0.01,16,30,True,0,0.8578119277954102
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,person_university,factual,person_university,91,91,68,23,0.1428732722997665,0.6871247887611389,0.5442515015602112,0.01,16,30,True,0,0.5442515015602112
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,product_by_company,factual,product_by_company,522,522,391,131,0.1438065469264984,0.8919734954833984,0.7481669783592224,0.01,16,30,True,0,0.7481669783592224
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,star_constellation,factual,star_constellation,362,362,271,91,0.2414681166410446,0.9015271663665771,0.6600590944290161,0.01,16,30,True,0,0.6600590944290161
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,substance_phase,commonsense,substance_phase,50,50,37,13,0.1386801600456237,0.9640051126480104,0.8253250122070312,0.01,16,30,True,0,0.8253250122070312
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,superhero_archnemesis,factual,superhero_archnemesis,96,96,72,24,0.1795413494110107,0.6466806530952454,0.467139333486557,0.01,16,30,True,0,0.467139333486557
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,superhero_person,factual,superhero_person,100,100,75,25,0.1776842474937439,0.6441961526870728,0.4665119647979736,0.01,16,30,True,0,0.4665119647979736
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,task_done_by_tool,commonsense,task_done_by_tool,52,52,39,13,0.1596605479717254,0.68576979637146,0.5261092185974121,0.01,16,30,True,0,0.5261092185974121
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,word_sentiment,commonsense,word_sentiment,60,60,45,15,0.1288161873817443,0.9829797148704528,0.8541635274887085,0.01,16,30,True,0,0.8541635274887085
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_ceo,factual,company_ceo,298,298,223,75,0.3557053506374359,0.7674949169158936,0.4117895662784576,0.01,14,26,True,0,0.4117895662784576
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_hq,factual,company_hq,674,674,505,169,0.3184845447540283,0.7598757743835449,0.441391259431839,0.01,14,26,True,0,0.441391259431839
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,landmark_in_country,factual,landmark_in_country,836,836,627,209,0.2966941595077514,0.9075888991355896,0.6108946800231934,0.01,14,26,True,0,0.6108946800231934
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,landmark_on_continent,factual,landmark_on_continent,947,947,710,237,0.3220608234405517,0.972842812538147,0.6507819294929504,0.01,14,26,True,0,0.6507819294929504
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,object_superclass,commonsense,object_superclass,76,76,57,19,0.283343106508255,0.3412707448005676,0.0579276010394096,0.01,14,26,True,0,0.0579276010394096
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,occupation_age,bias,occupation_age,45,45,33,12,0.3197289705276489,0.9886291027069092,0.6689000725746155,0.01,14,26,True,0,0.6689000725746155
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_father,factual,person_father,991,991,743,248,0.3942188322544098,0.7537376880645752,0.3595188558101654,0.01,14,26,True,0,0.3595188558101654
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_mother,factual,person_mother,994,994,745,249,0.3676682114601135,0.7084400653839111,0.3407719135284424,0.01,14,26,True,0,0.3407719135284424
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_native_language,bias,person_native_language,919,919,689,230,0.2849449515342712,0.9706601500511168,0.6857152581214905,0.01,14,26,True,0,0.6857152581214905
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_occupation,factual,person_occupation,821,821,615,206,0.2926838099956512,0.8435988426208496,0.550915002822876,0.01,14,26,True,0,0.550915002822876
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_plays_instrument,factual,person_plays_instrument,513,513,384,129,0.3327538073062897,0.901045560836792,0.5682918429374695,0.01,14,26,True,0,0.5682918429374695
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_plays_position_in_sport,factual,person_plays_position_in_sport,952,952,714,238,0.3255335688591003,0.9179905652999878,0.5924569964408875,0.01,14,26,True,0,0.5924569964408875
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_plays_pro_sport,factual,person_plays_pro_sport,318,318,238,80,0.3051078617572784,0.9548412561416626,0.6497333645820618,0.01,14,26,True,0,0.6497333645820618
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,person_university,factual,person_university,91,91,68,23,0.3246561288833618,0.8168054819107056,0.4921492636203766,0.01,14,26,True,0,0.4921492636203766
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,product_by_company,factual,product_by_company,522,522,391,131,0.3194732069969177,0.9336232542991638,0.6141500473022461,0.01,14,26,True,0,0.6141500473022461
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,star_constellation,factual,star_constellation,362,362,271,91,0.3605953156948089,0.9519950747489928,0.5913997888565063,0.01,14,26,True,0,0.5913997888565063
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,substance_phase,commonsense,substance_phase,50,50,37,13,0.3201397359371185,0.9930942058563232,0.6729544401168823,0.01,14,26,True,0,0.6729544401168823
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,superhero_archnemesis,factual,superhero_archnemesis,96,96,72,24,0.3546522557735443,0.811505138874054,0.4568530023097992,0.01,14,26,True,0,0.4568530023097992
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,superhero_person,factual,superhero_person,100,100,75,25,0.3890093266963959,0.8216664791107178,0.4326571226119995,0.01,14,26,True,0,0.4326571226119995
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,task_done_by_tool,commonsense,task_done_by_tool,52,52,39,13,0.3664141297340393,0.7949868440628052,0.4285727143287658,0.01,14,26,True,0,0.4285727143287658
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,word_sentiment,commonsense,word_sentiment,60,60,45,15,0.317082017660141,0.9911617040634156,0.6740797162055969,0.01,14,26,True,0,0.6740797162055969
