task,judge_label,n,file,model
instrument,REFUSAL,69,data/judge/future/llama3_1_8b_instruct_baseline_with_judge.csv,llama3_1_8b_instruct_baseline
company_ceo,unknown,1000,data/judge/relpanel/llama3_1_8b_instruct_relpanel_with_judge.csv,llama3_1_8b_instruct_relpanel
company_hq,unknown,1000,data/judge/relpanel/llama3_1_8b_instruct_relpanel_with_judge.csv,llama3_1_8b_instruct_relpanel
country_language,unknown,1000,data/judge/relpanel/llama3_1_8b_instruct_relpanel_with_judge.csv,llama3_1_8b_instruct_relpanel
sport,unknown,1000,data/judge/relpanel/llama3_1_8b_instruct_relpanel_with_judge.csv,llama3_1_8b_instruct_relpanel
father,HALLUCINATION,473,data/judge/pilot/llama3_8b_instruct_baseline_with_judge.csv,llama3_8b_instruct_baseline
father,OTHER,27,data/judge/pilot/llama3_8b_instruct_baseline_with_judge.csv,llama3_8b_instruct_baseline
father,REFUSAL,500,data/judge/pilot/llama3_8b_instruct_baseline_with_judge.csv,llama3_8b_instruct_baseline
instrument,HALLUCINATION,970,data/judge/pilot/llama3_8b_instruct_baseline_with_judge.csv,llama3_8b_instruct_baseline
instrument,OTHER,7,data/judge/pilot/llama3_8b_instruct_baseline_with_judge.csv,llama3_8b_instruct_baseline
instrument,REFUSAL,23,data/judge/pilot/llama3_8b_instruct_baseline_with_judge.csv,llama3_8b_instruct_baseline
father,HALLUCINATION,411,data/judge/pilot/llama3_8b_instruct_ctpt_with_judge.csv,llama3_8b_instruct_ctpt
father,OTHER,32,data/judge/pilot/llama3_8b_instruct_ctpt_with_judge.csv,llama3_8b_instruct_ctpt
father,REFUSAL,557,data/judge/pilot/llama3_8b_instruct_ctpt_with_judge.csv,llama3_8b_instruct_ctpt
instrument,HALLUCINATION,963,data/judge/pilot/llama3_8b_instruct_ctpt_with_judge.csv,llama3_8b_instruct_ctpt
instrument,OTHER,12,data/judge/pilot/llama3_8b_instruct_ctpt_with_judge.csv,llama3_8b_instruct_ctpt
instrument,REFUSAL,25,data/judge/pilot/llama3_8b_instruct_ctpt_with_judge.csv,llama3_8b_instruct_ctpt
father,HALLUCINATION,221,data/judge/future/mistral_7b_instruct_baseline_with_judge.csv,mistral_7b_instruct_baseline
father,OTHER,146,data/judge/future/mistral_7b_instruct_baseline_with_judge.csv,mistral_7b_instruct_baseline
father,REFUSAL,633,data/judge/future/mistral_7b_instruct_baseline_with_judge.csv,mistral_7b_instruct_baseline
instrument,HALLUCINATION,951,data/judge/future/mistral_7b_instruct_baseline_with_judge.csv,mistral_7b_instruct_baseline
instrument,OTHER,15,data/judge/future/mistral_7b_instruct_baseline_with_judge.csv,mistral_7b_instruct_baseline
instrument,REFUSAL,34,data/judge/future/mistral_7b_instruct_baseline_with_judge.csv,mistral_7b_instruct_baseline
company_ceo,unknown,1000,data/judge/relpanel/mistral_7b_instruct_relpanel_with_judge.csv,mistral_7b_instruct_relpanel
company_hq,unknown,1000,data/judge/relpanel/mistral_7b_instruct_relpanel_with_judge.csv,mistral_7b_instruct_relpanel
country_language,unknown,1000,data/judge/relpanel/mistral_7b_instruct_relpanel_with_judge.csv,mistral_7b_instruct_relpanel
sport,unknown,1000,data/judge/relpanel/mistral_7b_instruct_relpanel_with_judge.csv,mistral_7b_instruct_relpanel
father,HALLUCINATION,840,data/judge/future/qwen2_5_7b_instruct_baseline_with_judge.csv,qwen2_5_7b_instruct_baseline
father,OTHER,120,data/judge/future/qwen2_5_7b_instruct_baseline_with_judge.csv,qwen2_5_7b_instruct_baseline
father,REFUSAL,40,data/judge/future/qwen2_5_7b_instruct_baseline_with_judge.csv,qwen2_5_7b_instruct_baseline
instrument,HALLUCINATION,815,data/judge/future/qwen2_5_7b_instruct_baseline_with_judge.csv,qwen2_5_7b_instruct_baseline
instrument,OTHER,8,data/judge/future/qwen2_5_7b_instruct_baseline_with_judge.csv,qwen2_5_7b_instruct_baseline
instrument,REFUSAL,177,data/judge/future/qwen2_5_7b_instruct_baseline_with_judge.csv,qwen2_5_7b_instruct_baseline
company_ceo,HALLUCINATION,129,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
company_ceo,OTHER,3,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
company_ceo,REFUSAL,408,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
company_ceo,unknown,460,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
company_hq,HALLUCINATION,971,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
company_hq,OTHER,27,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
company_hq,REFUSAL,2,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
country_language,HALLUCINATION,976,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
country_language,OTHER,23,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
country_language,REFUSAL,1,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
sport,unknown,1000,data/judge/relpanel/qwen2_5_7b_instruct_relpanel_with_judge.csv,qwen2_5_7b_instruct_relpanel
